i,t,m,women,boys,men,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
102-10,2013_Q4,Cascade,2,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1.609437912
102-11,2013_Q4,Cascade,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
102-12,2013_Q4,Cascade,2,3,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1.791759469
102-2,2013_Q4,Cascade,2,1,1,4,0,1,1,1,0,1,0,1,0,0,1,2,0,0,2.079441542
102-3,2013_Q4,Cascade,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1.386294361
102-4,2013_Q4,Cascade,3,6,2,3,2,0,0,2,3,1,1,0,0,1,2,1,0,1,2.63905733
102-5,2013_Q4,Cascade,4,4,3,2,0,0,1,1,2,1,1,1,2,0,1,2,0,1,2.564949357
102-6,2013_Q4,Cascade,2,5,1,1,1,1,2,0,1,0,1,0,0,1,1,1,0,0,2.197224577
102-7,2013_Q4,Cascade,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
102-8,2013_Q4,Cascade,1,3,0,2,0,2,1,0,2,0,0,0,0,0,0,1,0,0,1.791759469
102-9,2013_Q4,Cascade,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.098612289
103-1,2013_Q4,Cascade,4,2,5,0,1,0,1,0,0,0,0,0,4,3,0,1,1,0,2.397895273
103-10,2013_Q4,Cascade,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1.098612289
103-11,2013_Q4,Cascade,1,1,3,2,0,1,0,0,0,1,1,0,2,0,1,1,0,0,1.945910149
103-12,2013_Q4,Cascade,1,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
103-13,2013_Q4,Cascade,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
103-3,2013_Q4,Cascade,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1.386294361
103-4,2013_Q4,Cascade,0,3,2,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,1.609437912
103-5,2013_Q4,Cascade,1,2,1,2,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1.791759469
103-6,2013_Q4,Cascade,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
103-7,2013_Q4,Cascade,1,0,1,3,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1.609437912
103-8,2013_Q4,Cascade,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103-9,2013_Q4,Cascade,5,2,4,3,1,2,0,1,0,0,1,1,3,3,0,0,1,1,2.63905733
104-1,2013_Q4,Cascade,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1.386294361
104-10,2013_Q4,Cascade,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1.098612289
104-11,2013_Q4,Cascade,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1.098612289
104-12,2013_Q4,Cascade,1,2,3,1,0,0,0,1,1,0,1,0,2,0,0,0,1,1,1.945910149
104-2,2013_Q4,Cascade,1,2,1,2,1,0,0,0,1,0,0,2,0,1,1,0,0,0,1.791759469
104-3,2013_Q4,Cascade,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
104-4,2013_Q4,Cascade,2,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1.609437912
104-5,2013_Q4,Cascade,7,0,4,7,0,4,0,1,0,1,0,2,2,4,2,2,0,0,2.890371758
104-6,2013_Q4,Cascade,1,1,1,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1.609437912
104-7,2013_Q4,Cascade,1,2,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1.386294361
104-8,2013_Q4,Cascade,2,2,2,3,1,1,1,1,0,1,1,0,0,1,0,1,1,0,2.197224577
104-9,2013_Q4,Cascade,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105-1,2013_Q4,Cascade,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1.098612289
105-10,2013_Q4,Cascade,2,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,1,2,1.791759469
105-11,2013_Q4,Cascade,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
105-12,2013_Q4,Cascade,2,3,1,3,0,2,1,0,1,1,1,0,0,0,0,2,1,0,2.197224577
105-2,2013_Q4,Cascade,1,0,1,3,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912
105-3,2013_Q4,Cascade,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6931471806
105-4,2013_Q4,Cascade,2,2,1,5,1,1,0,1,1,2,0,1,0,0,1,2,0,0,2.302585093
105-5,2013_Q4,Cascade,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
105-6,2013_Q4,Cascade,1,1,1,4,0,1,0,2,0,1,1,0,0,0,1,1,0,0,1.945910149
105-7,2013_Q4,Cascade,1,2,1,3,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1.945910149
105-8,2013_Q4,Cascade,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105-9,2013_Q4,Cascade,1,3,1,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,1.609437912
106-1,2013_Q4,Cascade,1,3,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1.791759469
106-10,2013_Q4,Cascade,1,1,2,3,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1.945910149
106-11,2013_Q4,Cascade,1,2,2,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1.609437912
106-12,2013_Q4,Cascade,2,0,2,3,0,1,0,2,0,0,0,0,1,2,1,0,0,0,1.945910149
106-2,2013_Q4,Cascade,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
106-3,2013_Q4,Cascade,1,0,1,3,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912
106-4,2013_Q4,Cascade,2,2,2,3,1,0,0,1,1,1,0,1,0,2,2,0,0,0,2.197224577
106-5,2013_Q4,Cascade,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.6931471806
106-6,2013_Q4,Cascade,6,3,6,4,2,0,1,1,0,2,0,1,4,3,1,1,1,2,2.944438979
106-7,2013_Q4,Cascade,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
106-8,2013_Q4,Cascade,3,3,2,3,0,2,1,0,0,1,2,0,1,0,1,2,0,1,2.397895273
106-9,2013_Q4,Cascade,4,1,3,9,0,3,1,5,0,1,0,0,1,2,2,2,0,0,2.833213344
107-1,2013_Q4,Cascade,2,6,3,2,0,0,2,0,2,2,2,0,1,1,2,1,0,0,2.564949357
107-10,2013_Q4,Cascade,3,2,2,2,1,0,0,0,0,2,1,0,1,1,1,1,0,1,2.197224577
107-11,2013_Q4,Cascade,4,3,4,5,2,2,0,1,0,2,1,0,2,2,2,2,0,0,2.772588722
107-14,2013_Q4,Cascade,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
107-2,2013_Q4,Cascade,3,4,1,3,0,1,1,1,2,1,1,1,0,1,0,1,1,0,2.397895273
107-3,2013_Q4,Cascade,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107-4,2013_Q4,Cascade,5,5,2,4,2,1,1,1,0,2,2,0,0,4,1,0,1,1,2.772588722
