i,t,m,women,boys,men,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
176-9,2013_Q4,Centre,3,1,3,0,0,0,0,0,0,0,1,1,2,1,0,1,1,0,1.945910149
177-1,2013_Q4,Centre,2,0,3,1,0,0,0,0,0,1,0,0,2,1,0,1,1,0,1.791759469
177-10,2013_Q4,Centre,1,2,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1.609437912
177-11,2013_Q4,Centre,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
177-12,2013_Q4,Centre,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
177-2,2013_Q4,Centre,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
177-3,2013_Q4,Centre,1,2,1,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912
177-4,2013_Q4,Centre,2,2,1,4,1,0,0,1,0,2,1,1,0,1,0,1,1,0,2.197224577
177-5,2013_Q4,Centre,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1.098612289
177-6,2013_Q4,Centre,1,2,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
177-7,2013_Q4,Centre,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1.386294361
177-8,2013_Q4,Centre,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1.386294361
177-9,2013_Q4,Centre,2,2,2,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1.945910149
178-1,2013_Q4,Centre,1,0,4,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,1.791759469
178-10,2013_Q4,Centre,2,0,3,2,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1.945910149
178-11,2013_Q4,Centre,8,1,1,1,1,0,0,0,0,0,0,2,0,5,0,1,1,1,2.397895273
178-12,2013_Q4,Centre,0,1,3,2,0,0,0,1,1,1,0,0,1,0,2,0,0,0,1.791759469
178-2,2013_Q4,Centre,2,0,2,5,0,0,0,2,0,2,0,1,0,0,2,1,0,1,2.197224577
178-3,2013_Q4,Centre,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
178-4,2013_Q4,Centre,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1.098612289
178-5,2013_Q4,Centre,1,2,1,2,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1.791759469
178-6,2013_Q4,Centre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
178-7,2013_Q4,Centre,1,3,2,1,0,1,1,0,1,0,1,0,0,1,2,0,0,0,1.945910149
178-8,2013_Q4,Centre,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1.386294361
178-9,2013_Q4,Centre,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
179-1,2013_Q4,Centre,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
179-10,2013_Q4,Centre,5,0,4,0,0,0,0,0,0,0,1,0,2,2,0,2,1,1,2.197224577
179-11,2013_Q4,Centre,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.6931471806
179-12,2013_Q4,Centre,1,2,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1.609437912
179-2,2013_Q4,Centre,1,2,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1.609437912
179-3,2013_Q4,Centre,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
179-4,2013_Q4,Centre,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1.386294361
179-5,2013_Q4,Centre,6,5,7,4,0,1,2,1,2,1,1,1,4,2,2,4,1,0,3.091042453
179-6,2013_Q4,Centre,1,2,1,3,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1.945910149
179-7,2013_Q4,Centre,1,4,1,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0,1.791759469
179-8,2013_Q4,Centre,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1.386294361
179-9,2013_Q4,Centre,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806
18-1,2013_Q4,Boucle-du-mouhoun,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
18-10,2013_Q4,Boucle-du-mouhoun,1,2,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1.609437912
18-11,2013_Q4,Boucle-du-mouhoun,1,1,1,4,1,0,0,1,0,2,0,1,0,0,1,1,0,0,1.945910149
18-12,2013_Q4,Boucle-du-mouhoun,1,1,1,3,0,2,1,0,0,1,0,0,0,1,1,0,0,0,1.791759469
18-2,2013_Q4,Boucle-du-mouhoun,2,4,2,4,2,1,1,1,1,2,0,0,0,1,2,1,0,0,2.48490665
18-3,2013_Q4,Boucle-du-mouhoun,2,4,1,5,1,1,1,2,1,1,1,1,0,0,1,2,0,0,2.48490665
18-4,2013_Q4,Boucle-du-mouhoun,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1.386294361
18-5,2013_Q4,Boucle-du-mouhoun,3,1,2,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,1.791759469
18-6,2013_Q4,Boucle-du-mouhoun,3,2,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,1,1.791759469
18-7,2013_Q4,Boucle-du-mouhoun,4,8,4,6,2,0,3,3,3,2,0,1,0,2,4,2,0,0,3.091042453
18-8,2013_Q4,Boucle-du-mouhoun,2,2,1,2,1,1,1,0,0,1,0,0,0,2,1,0,0,0,1.945910149
18-9,2013_Q4,Boucle-du-mouhoun,7,7,1,7,3,4,3,1,0,2,1,0,0,6,1,1,0,0,3.091042453
180-1,2013_Q4,Centre,1,1,6,1,0,0,1,0,0,1,0,0,2,0,4,1,0,0,2.197224577
180-10,2013_Q4,Centre,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.6931471806
180-11,2013_Q4,Centre,2,2,2,2,1,0,0,0,0,1,1,1,1,1,0,0,1,1,2.079441542
180-12,2013_Q4,Centre,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
180-13,2013_Q4,Centre,1,1,5,0,0,0,0,0,0,0,1,0,4,0,0,1,1,0,1.945910149
180-14,2013_Q4,Centre,1,2,1,2,0,1,0,0,2,1,0,0,0,0,1,1,0,0,1.791759469
180-2,2013_Q4,Centre,1,3,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1.791759469
180-3,2013_Q4,Centre,5,3,5,3,1,0,1,0,0,1,3,2,2,3,0,2,1,0,2.772588722
180-4,2013_Q4,Centre,2,1,4,6,1,1,0,2,0,2,0,1,3,1,0,1,1,0,2.564949357
180-5,2013_Q4,Centre,1,0,2,4,0,1,0,2,0,1,1,0,1,1,0,0,0,0,1.945910149
180-6,2013_Q4,Centre,3,2,2,2,1,1,1,0,0,1,0,0,1,2,0,1,1,0,2.197224577
180-9,2013_Q4,Centre,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
181-1,2013_Q4,Centre,4,1,1,3,0,0,0,2,0,0,1,1,0,3,0,0,1,1,2.197224577
181-10,2013_Q4,Centre,2,0,5,0,0,0,0,0,0,0,1,0,3,1,0,1,1,0,1.945910149
181-11,2013_Q4,Centre,1,2,5,2,1,0,0,1,1,0,0,1,3,0,1,1,1,0,2.302585093
181-12,2013_Q4,Centre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
181-13,2013_Q4,Centre,3,2,4,2,1,1,1,1,0,0,0,0,3,2,1,0,0,1,2.397895273
181-2,2013_Q4,Centre,2,1,3,2,0,1,0,0,0,1,1,0,1,1,1,1,1,0,2.079441542
181-3,2013_Q4,Centre,1,2,3,2,1,0,0,0,1,0,1,2,1,0,0,1,1,0,2.079441542
181-4,2013_Q4,Centre,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1.098612289
181-5,2013_Q4,Centre,2,0,3,1,0,0,0,0,0,0,0,1,2,1,0,0,1,1,1.791759469
181-7,2013_Q4,Centre,3,3,3,4,1,1,0,1,2,1,0,1,2,1,0,2,1,0,2.564949357
181-8,2013_Q4,Centre,3,4,1,5,1,3,2,1,1,1,0,0,0,3,1,0,0,0,2.564949357
181-9,2013_Q4,Centre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
182-1,2013_Q4,Centre,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.098612289
182-10,2013_Q4,Centre,1,4,1,1,1,0,0,0,1,1,2,0,0,0,1,1,0,0,1.945910149
182-11,2013_Q4,Centre,2,5,1,3,1,0,1,2,2,1,1,0,0,0,1,1,0,1,2.397895273
182-12,2013_Q4,Centre,1,3,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1.609437912
182-13,2013_Q4,Centre,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6931471806
182-2,2013_Q4,Centre,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1.386294361
182-3,2013_Q4,Centre,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1.098612289
182-4,2013_Q4,Centre,1,4,1,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,1.791759469
182-5,2013_Q4,Centre,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
182-6,2013_Q4,Centre,1,5,1,0,1,0,2,0,0,0,2,0,0,1,1,0,0,0,1.945910149
182-7,2013_Q4,Centre,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.6931471806
182-9,2013_Q4,Centre,1,2,1,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1.791759469
183-1,2013_Q4,Centre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183-10,2013_Q4,Centre,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
183-11,2013_Q4,Centre,2,2,1,2,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1.945910149
183-12,2013_Q4,Centre,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.386294361
183-2,2013_Q4,Centre,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1.386294361
183-3,2013_Q4,Centre,2,0,3,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1.609437912
183-4,2013_Q4,Centre,1,2,1,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1.609437912
183-5,2013_Q4,Centre,1,1,0,3,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1.609437912
183-6,2013_Q4,Centre,4,0,5,0,0,0,0,0,0,0,0,0,4,3,0,1,1,0,2.197224577
183-7,2013_Q4,Centre,4,0,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,1.791759469
183-8,2013_Q4,Centre,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
183-9,2013_Q4,Centre,1,2,6,6,1,1,0,1,1,2,0,2,2,0,4,0,0,1,2.708050201
184-1,2013_Q4,Centre,2,2,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1.791759469
184-10,2013_Q4,Centre,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
184-12,2013_Q4,Centre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
184-13,2013_Q4,Centre,0,1,2,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1.386294361
184-14,2013_Q4,Centre,2,1,1,2,1,0,0,1,0,0,0,2,0,0,1,1,0,0,1.791759469
184-15,2013_Q4,Centre,4,0,2,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1.791759469
184-2,2013_Q4,Centre,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.386294361
184-3,2013_Q4,Centre,0,0,6,1,0,0,0,0,0,0,0,1,3,0,3,0,0,0,1.945910149
184-6,2013_Q4,Centre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
184-7,2013_Q4,Centre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
184-8,2013_Q4,Centre,2,0,1,3,0,0,0,0,0,2,0,1,0,0,0,2,1,0,1.791759469
184-9,2013_Q4,Centre,2,0,2,2,0,0,0,0,0,1,0,2,1,0,0,1,1,0,1.791759469
185-1,2013_Q4,Centre,3,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1.386294361
185-10,2013_Q4,Centre,1,1,1,3,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1.791759469
185-11,2013_Q4,Centre,3,2,5,4,1,1,0,1,1,1,0,1,3,1,1,1,1,1,2.63905733
185-12,2013_Q4,Centre,1,1,1,3,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1.791759469
185-13,2013_Q4,Centre,0,2,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1.386294361
185-14,2013_Q4,Centre,2,0,2,2,0,1,0,1,0,0,0,0,1,2,1,0,0,0,1.791759469
185-15,2013_Q4,Centre,0,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1.098612289
185-2,2013_Q4,Centre,3,1,1,2,0,0,1,0,0,1,0,1,0,2,0,1,1,0,1.945910149
185-3,2013_Q4,Centre,4,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1.791759469
185-4,2013_Q4,Centre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
185-5,2013_Q4,Centre,1,0,3,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1.609437912
185-9,2013_Q4,Centre,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1.098612289
186-1,2013_Q4,Centre,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806
186-10,2013_Q4,Centre,2,0,1,2,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1.609437912
186-11,2013_Q4,Centre,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6931471806
186-12,2013_Q4,Centre,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
186-2,2013_Q4,Centre,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
186-3,2013_Q4,Centre,2,2,1,1,0,0,0,1,0,0,2,0,0,1,1,1,0,0,1.791759469
186-4,2013_Q4,Centre,2,1,4,3,0,0,1,1,0,0,1,2,2,1,0,1,1,0,2.302585093
186-5,2013_Q4,Centre,2,2,4,2,0,0,0,1,1,1,2,0,2,0,0,1,1,1,2.302585093
186-6,2013_Q4,Centre,1,3,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1.791759469
186-7,2013_Q4,Centre,4,4,2,0,0,0,1,0,2,0,1,1,0,1,2,1,0,1,2.302585093
186-8,2013_Q4,Centre,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806
186-9,2013_Q4,Centre,3,1,1,2,1,0,0,0,0,2,0,0,0,2,0,1,1,0,1.945910149
187-1,2013_Q4,Centre,3,3,3,1,2,0,0,0,0,1,1,0,2,2,0,1,1,0,2.302585093
187-10,2013_Q4,Centre,1,0,4,1,0,0,0,0,0,0,0,1,3,0,0,0,1,1,1.791759469
187-11,2013_Q4,Centre,1,1,1,3,0,0,1,0,0,2,0,1,0,0,1,1,0,0,1.791759469
187-12,2013_Q4,Centre,2,3,2,2,1,0,1,0,0,1,1,1,1,2,1,0,0,0,2.197224577
187-13,2013_Q4,Centre,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1.386294361
187-2,2013_Q4,Centre,3,2,3,1,1,0,0,1,1,0,0,0,1,2,2,1,0,0,2.197224577
187-3,2013_Q4,Centre,1,3,2,1,0,0,1,0,2,0,0,1,1,0,0,1,1,0,1.945910149
187-4,2013_Q4,Centre,1,2,1,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1.609437912
187-5,2013_Q4,Centre,6,1,5,1,0,0,0,0,0,0,1,2,4,3,0,1,1,1,2.564949357
187-6,2013_Q4,Centre,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6931471806
187-7,2013_Q4,Centre,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
187-9,2013_Q4,Centre,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
188-1,2013_Q4,Centre,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1.098612289
188-10,2013_Q4,Centre,1,3,1,1,0,0,0,0,2,1,1,0,0,0,1,1,0,0,1.791759469
188-11,2013_Q4,Centre,1,5,1,2,1,0,0,1,1,0,3,1,0,0,0,1,1,0,2.197224577
188-12,2013_Q4,Centre,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1.386294361
188-2,2013_Q4,Centre,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1.386294361
188-3,2013_Q4,Centre,6,1,2,3,0,1,1,1,0,0,0,2,1,4,1,1,0,0,2.48490665
188-4,2013_Q4,Centre,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
188-5,2013_Q4,Centre,3,0,0,2,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1.609437912
188-6,2013_Q4,Centre,3,6,2,5,0,1,0,0,4,4,2,0,1,2,1,1,0,0,2.772588722
188-7,2013_Q4,Centre,2,3,1,1,0,0,1,0,2,0,0,1,0,1,1,1,0,0,1.945910149
188-8,2013_Q4,Centre,1,1,2,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1.609437912
188-9,2013_Q4,Centre,3,2,4,1,0,0,1,0,1,0,0,1,3,2,0,1,1,0,2.302585093
189-1,2013_Q4,Centre,2,0,5,4,0,0,0,3,0,0,0,1,4,1,0,0,1,1,2.397895273
189-10,2013_Q4,Centre,2,0,2,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1.609437912
189-11,2013_Q4,Centre,2,2,3,3,0,1,0,0,1,1,1,1,2,0,0,2,1,0,2.302585093
189-12,2013_Q4,Centre,4,1,2,2,0,0,0,1,1,1,0,1,1,1,0,2,1,0,2.197224577
189-13,2013_Q4,Centre,2,1,3,1,0,1,0,0,1,0,0,0,2,1,0,0,1,1,1.945910149
189-2,2013_Q4,Centre,4,2,1,3,0,0,1,0,1,2,0,1,0,2,1,1,0,1,2.302585093
189-4,2013_Q4,Centre,2,2,4,0,0,0,1,0,1,0,1,0,2,1,1,1,0,0,2.079441542
189-5,2013_Q4,Centre,3,1,1,3,0,1,1,0,0,1,0,1,0,2,1,1,0,0,2.079441542
189-6,2013_Q4,Centre,2,1,0,4,0,1,0,2,1,1,0,0,0,1,0,1,0,0,1.945910149
189-7,2013_Q4,Centre,2,0,2,5,0,1,0,1,0,1,0,2,1,1,1,1,0,0,2.197224577
189-8,2013_Q4,Centre,4,1,1,2,0,0,0,0,0,2,1,1,0,2,1,1,0,0,2.079441542
189-9,2013_Q4,Centre,3,0,2,2,0,0,0,2,0,0,0,1,1,1,1,1,0,0,1.945910149
19-1,2013_Q4,Boucle-du-mouhoun,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1.098612289
19-10,2013_Q4,Boucle-du-mouhoun,1,2,1,2,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1.791759469
19-11,2013_Q4,Boucle-du-mouhoun,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.6931471806
19-12,2013_Q4,Boucle-du-mouhoun,1,1,0,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1.386294361
19-2,2013_Q4,Boucle-du-mouhoun,2,0,2,2,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1.791759469
19-3,2013_Q4,Boucle-du-mouhoun,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.098612289
19-4,2013_Q4,Boucle-du-mouhoun,2,1,1,4,0,0,0,2,1,1,0,1,0,0,1,1,0,1,2.079441542
19-5,2013_Q4,Boucle-du-mouhoun,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
19-6,2013_Q4,Boucle-du-mouhoun,2,0,3,3,0,1,0,1,0,1,0,0,2,2,0,0,1,0,2.079441542
19-7,2013_Q4,Boucle-du-mouhoun,4,5,2,2,1,0,1,2,1,0,2,0,1,2,0,0,1,2,2.564949357
19-8,2013_Q4,Boucle-du-mouhoun,1,4,2,1,0,0,0,1,3,0,2,0,0,0,1,1,0,0,2.079441542
19-9,2013_Q4,Boucle-du-mouhoun,1,0,1,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
190-1,2013_Q4,Centre-est,1,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1.386294361
190-10,2013_Q4,Centre-est,3,2,2,3,0,1,1,0,0,1,1,1,2,2,0,1,0,0,2.302585093
190-11,2013_Q4,Centre-est,3,3,1,2,2,0,1,2,0,0,0,0,1,2,0,1,0,0,2.197224577
190-12,2013_Q4,Centre-est,1,0,1,4,0,2,0,2,0,0,0,0,0,1,1,0,0,0,1.791759469
190-2,2013_Q4,Centre-est,1,1,2,3,0,0,1,2,0,0,0,1,1,0,0,1,1,0,1.945910149
190-3,2013_Q4,Centre-est,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1.098612289
190-4,2013_Q4,Centre-est,1,1,2,4,0,1,1,1,0,2,0,0,0,0,1,0,1,1,2.079441542
190-5,2013_Q4,Centre-est,2,2,1,2,0,1,0,1,2,0,0,0,0,0,1,1,0,1,1.945910149
190-6,2013_Q4,Centre-est,1,3,1,5,1,0,1,2,0,2,1,1,1,0,0,1,0,0,2.302585093
190-7,2013_Q4,Centre-est,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1.386294361
190-8,2013_Q4,Centre-est,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1.098612289
190-9,2013_Q4,Centre-est,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1.386294361
191-1,2013_Q4,Centre-est,1,0,0,3,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1.386294361
191-11,2013_Q4,Centre-est,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1.098612289
191-13,2013_Q4,Centre-est,1,2,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1.386294361
191-15,2013_Q4,Centre-est,1,1,2,2,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1.791759469
191-2,2013_Q4,Centre-est,2,0,0,3,0,0,0,2,0,1,0,0,0,0,0,2,0,0,1.609437912
191-3,2013_Q4,Centre-est,1,1,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1.386294361
191-4,2013_Q4,Centre-est,2,1,0,3,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1.791759469
191-5,2013_Q4,Centre-est,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
191-6,2013_Q4,Centre-est,2,0,2,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1.609437912
191-7,2013_Q4,Centre-est,1,3,0,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1.791759469
191-8,2013_Q4,Centre-est,2,2,0,2,2,0,0,1,0,1,0,0,0,0,0,1,0,1,1.791759469
191-9,2013_Q4,Centre-est,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6931471806
192-1,2013_Q4,Centre-est,1,3,1,1,0,0,2,0,0,1,2,0,0,0,0,1,0,0,1.791759469
192-10,2013_Q4,Centre-est,4,2,2,3,0,1,2,0,0,2,0,0,1,3,1,0,0,1,2.397895273
192-11,2013_Q4,Centre-est,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.098612289
192-12,2013_Q4,Centre-est,1,0,0,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1.386294361
192-2,2013_Q4,Centre-est,1,1,0,3,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1.609437912
192-3,2013_Q4,Centre-est,1,2,0,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1.609437912
192-4,2013_Q4,Centre-est,1,1,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1.386294361
192-5,2013_Q4,Centre-est,1,2,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1.386294361
192-6,2013_Q4,Centre-est,1,2,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1.386294361
192-7,2013_Q4,Centre-est,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.6931471806
192-8,2013_Q4,Centre-est,5,3,5,3,1,0,1,1,1,1,0,1,1,3,2,0,2,2,2.772588722
192-9,2013_Q4,Centre-est,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1.386294361
193-1,2013_Q4,Centre-est,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
193-10,2013_Q4,Centre-est,2,2,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1.609437912
193-11,2013_Q4,Centre-est,2,1,2,2,1,0,0,2,0,0,1,0,0,1,1,0,0,1,1.945910149
193-12,2013_Q4,Centre-est,2,4,1,2,0,0,2,1,2,1,0,0,0,2,1,0,0,0,2.197224577
193-2,2013_Q4,Centre-est,0,3,2,1,0,0,2,0,0,1,1,0,0,0,2,0,0,0,1.791759469
193-3,2013_Q4,Centre-est,1,2,1,2,0,1,0,1,2,0,0,0,0,0,1,1,0,0,1.791759469
193-4,2013_Q4,Centre-est,2,5,1,0,1,0,1,0,1,0,2,0,0,0,1,1,0,1,2.079441542
193-5,2013_Q4,Centre-est,1,2,1,4,0,1,1,2,0,1,1,0,0,0,1,1,0,0,2.079441542
193-6,2013_Q4,Centre-est,2,1,1,3,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1.945910149
193-7,2013_Q4,Centre-est,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
193-8,2013_Q4,Centre-est,4,4,2,5,1,3,1,2,2,0,0,0,0,2,1,1,1,1,2.708050201
193-9,2013_Q4,Centre-est,1,3,1,2,2,0,0,1,1,1,0,0,0,0,1,1,0,0,1.945910149
194-1,2013_Q4,Centre-est,2,6,1,2,1,0,4,0,1,1,0,1,0,1,1,1,0,0,2.397895273
194-10,2013_Q4,Centre-est,6,6,4,5,0,1,0,1,2,2,4,1,3,0,0,3,1,3,3.044522438
194-11,2013_Q4,Centre-est,1,3,1,3,1,0,1,1,0,1,1,1,0,0,1,1,0,0,2.079441542
194-12,2013_Q4,Centre-est,1,2,2,2,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1.945910149
194-2,2013_Q4,Centre-est,2,3,2,2,1,0,1,2,1,0,0,0,1,1,0,0,1,1,2.197224577
194-3,2013_Q4,Centre-est,1,0,1,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
194-4,2013_Q4,Centre-est,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1.098612289
194-5,2013_Q4,Centre-est,2,0,1,2,0,2,0,0,0,0,0,0,1,2,0,0,0,0,1.609437912
194-6,2013_Q4,Centre-est,1,2,1,2,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1.791759469
