i,t,m,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
803,2011,Niger,1,1,0,0,0,1,0,1,0,0,0,1,0,0
804,2011,Niger,2,0,1,0,0,1,0,0,1,0,0,1,0,0
805,2011,Niger,0,0,0,0,1,0,1,0,1,0,0,0,1,0
806,2011,Niger,1,0,0,0,0,1,0,0,0,0,0,1,0,0
807,2011,Niger,0,0,0,0,0,1,0,2,2,0,0,1,0,0
808,2011,Niger,0,1,0,0,0,0,1,2,1,0,0,1,0,0
809,2011,Niger,1,0,0,0,0,1,0,1,0,0,0,1,0,0
810,2011,Niger,0,0,0,0,1,0,0,2,0,0,0,1,0,0
811,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,1
812,2011,Niger,0,1,2,0,0,0,0,0,1,1,0,1,0,0
813,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,1
814,2011,Niger,1,0,0,0,0,0,1,1,2,0,0,0,1,0
815,2011,Niger,0,0,2,2,1,0,1,1,3,1,1,0,1,0
816,2011,Niger,0,0,1,2,0,0,1,0,0,2,0,1,0,0
817,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,0,1,0
818,2011,Niger,0,2,2,0,0,1,0,0,0,0,0,1,0,0
901,2011,Niger,0,0,0,1,0,1,0,0,0,0,0,0,0,0
902,2011,Niger,1,3,2,2,0,1,0,1,0,1,1,0,3,0
903,2011,Niger,2,0,0,0,0,1,0,0,0,0,0,1,0,0
904,2011,Niger,0,1,1,1,1,0,1,0,0,1,0,0,1,0
905,2011,Niger,0,0,0,0,0,0,0,1,0,1,2,0,1,0
906,2011,Niger,1,0,1,1,0,0,1,0,2,1,1,0,1,0
907,2011,Niger,1,0,0,0,0,1,0,0,1,0,0,1,0,0
908,2011,Niger,1,0,1,1,0,1,0,1,0,0,0,1,0,0
909,2011,Niger,0,0,0,1,0,0,1,1,2,0,0,1,1,0
912,2011,Niger,1,1,0,0,0,0,1,0,0,0,1,0,1,0
913,2011,Niger,0,0,0,0,1,0,0,0,0,0,1,0,0,0
914,2011,Niger,0,1,1,1,0,1,0,0,0,0,1,1,1,0
915,2011,Niger,0,0,0,0,1,0,0,0,0,0,0,1,0,0
916,2011,Niger,0,1,2,1,1,0,0,1,2,1,1,3,1,0
917,2011,Niger,1,0,1,1,1,0,2,0,2,0,0,0,1,1
918,2011,Niger,0,0,3,1,1,0,1,0,2,0,0,0,1,1
1001,2011,Niger,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1002,2011,Niger,1,1,0,0,0,1,0,0,1,0,0,1,0,0
1003,2011,Niger,2,0,0,0,0,1,0,0,0,0,0,1,0,0
1004,2011,Niger,1,1,1,0,0,1,0,0,0,2,0,0,1,0
1005,2011,Niger,1,0,0,0,0,1,0,1,1,0,0,1,0,0
1006,2011,Niger,0,1,1,0,0,0,1,0,0,1,2,1,1,0
1007,2011,Niger,0,0,1,0,0,1,0,1,3,1,0,1,0,0
1008,2011,Niger,0,2,0,0,0,1,0,0,0,3,2,0,1,0
1009,2011,Niger,2,1,0,1,0,1,0,1,1,0,0,1,0,0
1010,2011,Niger,2,0,0,0,0,1,0,0,5,1,0,0,1,0
1011,2011,Niger,1,1,0,1,0,1,0,0,1,1,1,0,1,0
1012,2011,Niger,0,1,0,0,1,0,0,1,1,0,0,1,0,0
1013,2011,Niger,1,1,0,0,0,1,0,1,1,1,0,1,0,0
1014,2011,Niger,2,1,0,0,0,0,1,0,1,0,0,1,0,0
1015,2011,Niger,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1016,2011,Niger,1,2,0,0,0,1,0,0,0,0,0,0,1,0
1017,2011,Niger,1,2,0,0,0,0,0,0,0,0,0,0,1,0
1018,2011,Niger,2,0,0,0,0,1,0,0,2,1,0,0,1,0
1103,2011,Niger,1,1,3,2,0,1,0,1,1,0,0,0,1,0
1105,2011,Niger,1,1,0,0,0,1,0,2,1,0,0,1,0,0
1106,2011,Niger,1,1,0,0,0,1,0,0,1,0,0,1,0,0
1107,2011,Niger,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1108,2011,Niger,0,1,0,0,0,1,0,1,1,1,0,0,1,0
1109,2011,Niger,0,0,0,0,0,1,0,2,1,0,0,1,0,0
1111,2011,Niger,0,1,1,0,0,0,1,1,1,0,0,0,1,0
1113,2011,Niger,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1114,2011,Niger,0,0,0,0,0,1,0,2,1,0,0,0,1,0
1115,2011,Niger,1,2,0,0,0,1,0,0,0,0,0,1,0,0
1201,2011,Niger,0,2,2,1,1,1,0,1,0,0,1,1,1,0
1202,2011,Niger,1,0,1,4,2,1,0,0,0,1,0,0,1,0
1203,2011,Niger,1,0,0,1,1,0,0,2,0,1,1,1,0,1
1205,2011,Niger,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1206,2011,Niger,0,1,2,2,0,1,0,0,0,1,0,0,1,0
1207,2011,Niger,1,3,2,0,0,0,1,2,0,0,1,1,1,0
1208,2011,Niger,1,1,0,0,1,0,0,1,0,0,0,1,0,0
1209,2011,Niger,1,2,1,2,0,0,1,1,0,0,0,0,1,0
1210,2011,Niger,2,1,1,0,0,1,0,0,1,0,0,1,0,0
1211,2011,Niger,1,1,1,0,0,1,0,0,0,0,0,1,0,0
1212,2011,Niger,0,0,0,0,0,1,0,3,2,0,0,1,0,0
1213,2011,Niger,0,1,0,1,0,0,1,0,1,4,2,0,2,0
1214,2011,Niger,1,0,0,1,2,0,1,1,1,3,1,1,0,1
1215,2011,Niger,0,1,0,0,0,0,0,0,0,2,0,0,1,0
1216,2011,Niger,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1217,2011,Niger,1,0,1,0,1,1,1,1,1,1,2,0,1,1
1218,2011,Niger,0,1,0,0,0,0,1,1,3,3,0,1,1,0
1301,2011,Niger,0,0,0,0,0,1,0,2,1,0,0,1,0,0
1302,2011,Niger,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1303,2011,Niger,0,0,0,0,1,0,0,2,0,0,1,0,0,0
1304,2011,Niger,1,3,1,1,0,0,1,0,0,1,0,0,1,0
1305,2011,Niger,0,1,0,0,0,1,0,1,1,1,0,1,0,0
1306,2011,Niger,0,0,0,1,0,1,0,0,0,2,2,3,1,0
1307,2011,Niger,2,0,0,0,0,1,0,0,1,0,0,1,0,0
1308,2011,Niger,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1309,2011,Niger,1,2,0,0,0,1,0,0,0,0,0,1,0,0
1310,2011,Niger,0,0,0,0,1,0,0,1,0,0,0,1,0,1
1311,2011,Niger,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1312,2011,Niger,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1313,2011,Niger,0,0,0,0,0,0,0,0,0,2,2,0,0,1
1314,2011,Niger,0,1,1,0,0,1,0,1,0,2,1,0,1,0
1315,2011,Niger,1,1,0,0,0,1,0,1,1,0,0,1,0,0
1316,2011,Niger,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1317,2011,Niger,0,0,1,1,0,0,1,0,1,2,1,0,1,0
1318,2011,Niger,1,1,0,0,1,0,0,0,0,0,0,1,0,1
1401,2011,Niger,0,1,2,0,0,0,1,0,1,1,1,1,0,0
1402,2011,Niger,1,0,0,0,0,0,0,1,2,1,0,1,0,0
1403,2011,Niger,0,0,1,3,0,0,1,0,0,1,1,0,1,0
1404,2011,Niger,1,1,0,0,0,1,0,0,1,1,0,1,0,0
1405,2011,Niger,1,1,1,0,0,0,0,0,2,1,0,0,1,0
1406,2011,Niger,0,0,0,2,7,0,0,0,1,3,0,0,0,1
1407,2011,Niger,0,2,1,0,0,0,0,0,1,1,0,1,0,0
1408,2011,Niger,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1409,2011,Niger,1,1,1,2,1,0,0,1,1,2,0,1,2,0
1410,2011,Niger,1,0,0,0,0,0,0,0,2,1,0,0,1,0
1411,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1412,2011,Niger,0,0,1,0,2,0,1,0,1,1,2,1,0,1
1413,2011,Niger,2,2,0,0,1,0,0,0,0,0,0,1,0,1
1414,2011,Niger,0,0,1,1,0,1,0,1,3,0,0,0,1,0
1415,2011,Niger,0,1,0,0,0,1,0,0,1,1,0,0,1,0
1416,2011,Niger,0,1,1,1,0,0,1,1,0,1,0,1,1,0
1417,2011,Niger,2,1,0,1,2,0,0,1,1,2,1,3,1,0
1418,2011,Niger,1,2,0,0,0,1,0,1,0,0,0,1,0,0
1501,2011,Niger,0,0,0,0,1,0,0,2,1,0,0,1,0,0
1502,2011,Niger,0,0,0,0,0,0,0,0,0,2,0,0,1,0
1503,2011,Niger,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1504,2011,Niger,1,0,0,0,1,0,0,2,0,0,0,1,0,0
1505,2011,Niger,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1506,2011,Niger,0,2,0,0,0,1,0,1,0,0,0,1,0,0
1507,2011,Niger,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1508,2011,Niger,0,2,1,0,0,1,0,2,0,0,0,0,1,0
1509,2011,Niger,1,2,0,0,0,1,0,0,0,0,0,0,1,0
1510,2011,Niger,1,1,0,0,0,1,0,0,0,0,0,1,0,0
