i,t,m,Apple,Bread,Cassava (dough),Cassava (fresh),Cocoa (milk powder beverages),Coconut (fresh),Cocoyam Leaves,Coffee,Condiments,Eggplant,Eggs,"Fish (smoked, sea)",Garlic,Herring (smoked),Milk (powdered),Oil (vegetable),Okra,Onion,Orange,Other Fish,Other Spices,Pepper (fresh),Pineapple,Plantain,Rice (imported),Salmon (smoked),Salt,Sugar (granulated),Sugar Bread,Tomato (fresh),Tomato (paste),Water,Yam,Biscuit,"Cassava (white, flour)",Chewing Gum,Chicken (frozen),Fish (fried),"Fish (smoked, river)",Ginger,Groundnut,Ice Cream,Maize (flour/dough),Malt Drinks (bottle),Malt Drinks (canned),Oil (coconut),Oil (palm),Other Milk Products,Other Oils,Palm Nut,Soft Drinks,Spaghetti,Tilapia,Watermelon,Yoghurt,Banana,Milk (evaporated),Beef,Beef (steak),Chicken (wing),Juice,Other Beverages,Pepper (powder),Potato,Snail,Cerelac (Baby food),White Oats,Chicken (thigh),Fish (canned),Fish (dried),Fish (salted),Other Vegetable,Rice (local),Pork (feet),Bitters,Cocoyam,Gin,Beef (corned),Carrot,Chicken (broiler),Cowpea,Instant Noodle,Maize (grain),Margarine,Milk (fresh),Pawpaw,Tea bag,Tuna (processed),Wine,Mackerel (processed),"Milk (tinned, condensed)",Other Meat,Akpeteshie,Beef (offal),Curry Power,"Cassava (yellow, flour)",Chicken (live),Grape,Macaroni,Millet (flour),"Pepper (dried, red)",Beer,Agushie Seed,Cassava (dried),Goat,Cigarette,Shrimp,Sugar (cubed),Kapla,Millet,Cocoa Powder,Sausage (beef),Other Tubers,Mango,Dawadawa,Avocado,Crab,Honey,Pork,Beef (leg),Sausage (chicken),Wheat Flour,Shallot,Sweet Pepper,Chicken (breast),Lime,Chicken (gizzard),Other Fruits,Shea Butter,Other Tobacco,Sausage (pork),Chocolate,Other Cereal,Guineafowl,Pork (fillet),Oil (palm kernel),Canned Fruits,Oil (groundnut),Water Yam,Corflake,Cashew,Other Spirits,Whisky,Beef (face),Chilli Powder (black pepper),Coconut (dried),Guinea corn/sorghum,Vinegar,Tobacco,Pork (rib),Taro,Couscous,Maizena,Schnapps,Pork (shoulder)
70001/11,2016-17,Western,,1,,,,,,,,,,,,,,,,1,,,,,,,18,,,,4,1.2,1.4,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/12,2016-17,Western,,62,,,12,3,,,,,,,,,1.6,12,,,6,,,,,,39,,3.6,9.1,,,,13.5,,7,,2,,,,,0.5,2,,142,60,,,,,,2,,,,6,6,2.5,,,,,23,,,,,,,,,,,,,,,,,,,5,3,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/14,2016-17,Western,,6,2,10,,,,,1.1,,1,6,,2,27,15,,6.5,,,0.5,2,,13,135,31,2.2,3,,1,5,,,,,,,,,,5,,,,,,,,,8,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70001/15,2016-17,Western,5,10,5.5,22.2,27.7,,5.2,,7.6,16.2,16,3,1.7,,11,23.5,3.5,10.2,2,,,3.7,,16,18.6,61,1,14.1,19,18,20.2,,37.2,,12,0.5,,3,,1,11,,13,20,3,,2,,2,7,10,,,,,9,8,,11,,,,3.7,,,,,,5,,6,2,,,,,,,4.7,,10.5,,,,,,,,,15,10.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/01,2016-17,Western,,2,,,15,,,,1,,,15,,4,18,4,,4,1,,,1.5,,5,12,11,1,4.1,26,6,2,9.5,,5,16,,,2,,,,,,,,,2,,,,,,,,,5.4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/02,2016-17,Western,,5,2,35,18,,3,2,8.6,9,20,15,2.5,20,34,18,,11.5,1,10,,7,,26,40,10,5,9.5,30,30.5,21.5,11.7,15,5,10,,,,15,,4,,23,,3,,7,,,8,,,,,,11,3,,,,19,,2,,,2,9,40,,,,8,,,,,,,2,,,5,,,,,,,,9,,50,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/03,2016-17,Western,10,30,18,20,33,2,4,3,4.8,8,31.8,40,1,20,34,25,3,18,3,,,9,5,45,73,50,9,7,25,25,16,11.7,25,28,24,,,10,,,,,29,,3,,9,,,,3,,,,,17,,4,50,,28,,,,,2,26,,10,5,,2,,,,,,,,,,8,,1,,5,,,,8,8,,,,,4,30,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/04,2016-17,Western,,25,7,25,16,,,,4,10,11,55,,14,22,12,6,17,7,,,7,,42,93,48,3,11,18,26,11,12,5,27,24,0.5,,8,,,,,11,,,,14,,,5,,,,,,4,,,,,,,,,,,,15,,4,4,,,,,5,,,,,,,,0.6,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/05,2016-17,Western,,6,7,11,19,,,,3.2,3.5,13,10,1,,25,20,1,8,3,,,5,,17,60,10,2,7,21,24,12.5,8,5,15,20,,,,,0.5,,,13,,,,7,,,,,,,,,5,,,,,,,,,,,,60,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70002/06,2016-17,Western,,12,8,26,20,,,3,3.6,7,5,45,,,30,16,1,13.5,3,,,5.5,,19,52,60,4,6.6,34,29,11,9,20,8,17,1,,15,,,,,15,,3,,7,,,3,,,,,,6,,,,,,,2,,,2,6,,,5,,,,,8,,,,,,2,10,,,,,,,,,,,2,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
