i,t,m,Apple,Bread,Cassava (dough),Cassava (fresh),Cocoa (milk powder beverages),Coconut (fresh),Cocoyam Leaves,Coffee,Condiments,Eggplant,Eggs,"Fish (smoked, sea)",Garlic,Herring (smoked),Milk (powdered),Oil (vegetable),Okra,Onion,Orange,Other Fish,Other Spices,Pepper (fresh),Pineapple,Plantain,Rice (imported),Salmon (smoked),Salt,Sugar (granulated),Sugar Bread,Tomato (fresh),Tomato (paste),Water,Yam,Biscuit,"Cassava (white, flour)",Chewing Gum,Chicken (frozen),Fish (fried),"Fish (smoked, river)",Ginger,Groundnut,Ice Cream,Maize (flour/dough),Malt Drinks (bottle),Malt Drinks (canned),Oil (coconut),Oil (palm),Other Milk Products,Other Oils,Palm Nut,Soft Drinks,Spaghetti,Tilapia,Watermelon,Yoghurt,Banana,Milk (evaporated),Beef,Beef (steak),Chicken (wing),Juice,Other Beverages,Pepper (powder),Potato,Snail,Cerelac (Baby food),White Oats,Chicken (thigh),Fish (canned),Fish (dried),Fish (salted),Other Vegetable,Rice (local),Pork (feet),Bitters,Cocoyam,Gin,Beef (corned),Carrot,Chicken (broiler),Cowpea,Instant Noodle,Maize (grain),Margarine,Milk (fresh),Pawpaw,Tea bag,Tuna (processed),Wine,Mackerel (processed),"Milk (tinned, condensed)",Other Meat,Akpeteshie,Beef (offal),Curry Power,"Cassava (yellow, flour)",Chicken (live),Grape,Macaroni,Millet (flour),"Pepper (dried, red)",Beer,Agushie Seed,Cassava (dried),Goat,Cigarette,Shrimp,Sugar (cubed),Kapla,Millet,Cocoa Powder,Sausage (beef),Other Tubers,Mango,Dawadawa,Avocado,Crab,Honey,Pork,Beef (leg),Sausage (chicken),Wheat Flour,Shallot,Sweet Pepper,Chicken (breast),Lime,Chicken (gizzard),Other Fruits,Shea Butter,Other Tobacco,Sausage (pork),Chocolate,Other Cereal,Guineafowl,Pork (fillet),Oil (palm kernel),Canned Fruits,Oil (groundnut),Water Yam,Corflake,Cashew,Other Spirits,Whisky,Beef (face),Chilli Powder (black pepper),Coconut (dried),Guinea corn/sorghum,Vinegar,Tobacco,Pork (rib),Taro,Couscous,Maizena,Schnapps,Pork (shoulder)
70310/12,2016-17,Volta,4,,15,,,,,,3,4,,,,20,12,,4,6,8,,,3,16,,35,78,1.5,5,55,30,4.2,40,,,,,,19,,1,,,,,21,7,7,,,,,,30,,9,36,,15,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,10,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70310/13,2016-17,Volta,,9,11,,5.7,,,,2.7,4,,,,4,14,5,9,7,6.5,,,4.5,,,,30,1,3,8,15,6.2,8.4,10,5,7,,,10,9,,,,,,,,2,,,,,,,,5,4,2,,,5,,,,,,,,,,,,,20,,,,,,,,,,25,,,,,,,,,,,,,,,,,,1,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
70310/14,2016-17,Volta,4,7,9,,4.5,,,,2.3,3.5,,10,,25,10.2,,7,7,6,2,,2,,,,8,1,4,14,14,3,8.2,10,9.5,,,,14,25,,,2,3.5,,,,10,1,,,,,,,7,8,,,,8,,,,,,,,,,,,,18,,,,,,,,10,3,20,,,,,,,,,,,,2,,,,2.5,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
70310/15,2016-17,Volta,,10,19,,11,,,,2.5,6,2.8,10,0.5,20,7,6,13,14,8,,,4.5,2,5,35,37,4,6,17,20,15.4,17.5,30,11,,,,4,10,1,,2,,,6,,2,,,,4,,20,,4,17,7,20,,,,,,,,,,20,3,,,,12,,,,,,,,4,,30,,,,,,,,,,,,2,,,,6,,2.5,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
70311/01,2016-17,Volta,,14.5,7.5,,49,,4,,1,,6,,,13,,6,12,4,2,2,,5,4,,8,41,0.5,,18,19.5,9.5,9.8,20,14,6,0.5,,27,20,,,1,1,2,,,12,1,,,,2,10,,16,2,10,,5,,9.5,,0.5,,,,,,,5,,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,10,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70311/02,2016-17,Volta,,4,10,,5,,4,,3,1,,,0.5,20,,3,11,4.5,,7,,5,,,,14,,,15,8,1.6,3.4,11,,,,,6,20,1.5,4,,,,,,2,,,,,,6,,,,,,,,1.4,,,,,,,15,,1,,3.5,10,,,,,,,,,,20,,,,,,,,,,,,,,,,,,0.5,,,,10,,,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70311/03,2016-17,Volta,,3,10,,,,,,3.5,2.5,5,14,1,34,,15,8,5.5,3,4,,5,,,5,51,,,21,8,10.2,6,,,,,,11,20,3,6.5,,,,,,4,,,4,,,,,,,,,,,,,2,,,,,,,,,3,8,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70311/04,2016-17,Volta,,11,20,10,,,10,,3,,,8,0.5,31,,,22,7.5,,8,,7,,4,,20,3,1.5,8,15,5.2,2,,,6,,,5,45,2,1.5,1,1,,,,6,1,,2,,,,,,,,,,,2.4,,1.5,,,,,,3,2,0.5,1,25,,,,,,,,16,,60,,7,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70311/05,2016-17,Volta,,7.5,19,,,,6,,1.5,,,,,21,,3.5,17,4.7,,2,,8,,,,27,,0.5,7,16,2.8,,,,6,,,10,29,0.5,0.6,,0.5,,,,3,,,,,,,,,,,,,,,,1.6,,10,,,5,,2,1.5,0.5,18,,,,,,,,,2,22,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70311/06,2016-17,Volta,,5,12,,,,2,,2.5,2,1.2,,0.5,11,,8.5,13,6.5,,,,5.5,,,,25,0.5,0.5,8,7,3.2,,,,1,,,8,25,1,1,,,,,,4,,,6,,2,,,,,,,,,,,2,,,,,14,,2,,1,41,,,,,,,,,,12,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70311/07,2016-17,Volta,,8,18,9,,,7.5,,3.9,2,4.5,,1,16,,20,13,6,3,,,7.5,,6,16,42,2,,14,15,6.8,15.7,5,,7,,,15,25,0.5,,,2,3,,,5,,,2,,,10,,7,1,4.7,10,20,,1,,0.2,,,,,,,12,0.5,1.5,46,,,,,,,,10,,9,,,,4.5,,,,,,2,,,,,,,,2,,,,,,,4.5,,,,,,2,,,8,,,,,,,,5,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
70311/08,2016-17,Volta,,11,21,6,,,6,,9.5,1,,,0.5,30,,,23,7,,,,8.5,,4,,70,6,2.5,5,14,,9.4,,,5,,,9,25,1.5,2.5,,,,,,3,,,,,,,,,,,,,4,,,0.5,,,,,,,,,9,,,,5,,,4,,,,,1.5,,,,,,,,,1,,1,,,,4,,2,,,,,,,,,,,,,3,,,,,,,,,1,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70311/09,2016-17,Volta,,6,1,25,8,,13.5,,2.5,3.5,6,,0.5,19,25,2,18,4.5,2,5,,9,3,11,,23,,3,13.5,11,5.7,,15,1,,,,8,12,2,2,,,,,,,,,,,,,,,2,6,,20,,1,,2,,,,,,,7,,1,15,,,,,,,,,,8,,,2,,,,,,,,,1.5,,,,,,1,,,,10,,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70311/10,2016-17,Volta,,3,11,,,,4,,3,0.5,,,,34,,,12.5,3.5,,,,4,,,,46,2,1.4,11,4,,4.6,,,7,,,6,32,,3.3,,,,,,4,,,2,,,,,,,,,,,,,0.5,,,,,,,,,5.5,6,,,,,,,,2,,25,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70311/11,2016-17,Volta,,18,3,2,4,,,,3.2,0.5,7.5,,0.5,6,,19,8,7.5,4.5,,,3,,,,,0.5,5,21,10,3.8,32.5,3,2,,,2,7.5,14,0.5,5.2,,3.5,,,,5.5,,,1.5,1,2,4,,2,1,7,8,10,,,,2.5,,,11.5,,,4,5,1.5,8,26.5,,,,,,5,,5,4.5,12,,,,0.8,,,2,,,,,,,,,,,,,,,,,,,8.5,,,,,1,,4,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70311/12,2016-17,Volta,,6.5,23,,,,5,,3.5,2,,,,17,,8.5,24,8,,1,,7,,,,49,1.5,,5,18,4.6,0.3,10,,1,,,14,35,0.5,,,,,,,8,,,2,,,,,,,,,5,,2,,1.5,,,,,,,3,,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,11,,,,,,0.5,,10,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
70311/13,2016-17,Volta,,1,22,5,2,,2,,1.5,3,,,,10,,1,6,4,,,,7,,2,,22,2.5,5,2,8,1.4,10,15,,,,,,33,1.5,,,2,,,,7.5,,,,,,,,,,,7,,,,,,,,12,,,,,,1,4,,,,,,,,5,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
70311/14,2016-17,Volta,,6,9.5,,,,3,,2.5,,,,,24,,1,13,4.5,,5,,5.5,,,,17,,,3,9,2.6,,,,,,,4,20,,3,,,,,,6,,,,,,,,,,,,,,,,0.5,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70311/15,2016-17,Volta,,6,16.5,,11,,12,,4,3,2,10,0.5,38,,8,18,6.5,1,,,7.5,,,27,52,0.5,0.5,23,9,3.2,4.4,,1,6,,,9,25,1.5,,,,,,,9,,,7.5,,,,,2,,,,20,,4.9,,0.5,,,,,,8.5,,,1,,,,,,,,,16,3,24,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,1,,,15,,,10,,,1,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
70312/01,2016-17,Volta,,,5,1,32,4,,,2,,1.6,,1,,,7.5,4,2,,,,1.5,,3,12.5,10,0.5,,14,8,40,9,,6,,,,,,1,,,,,6,,2,,,2,42.5,,,5,,,,10,,,,,,,,,,10,,2,,,,,,,,,1,,,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312/02,2016-17,Volta,,,8,,1,1,,,2.5,11,4,15,1.5,25,,11.5,10.5,6.5,1,,,3,,,28,,3.5,3.5,15,12,3.6,6.2,5,2,1,,,,5,3.5,2,2,,6,,,2,1,,14,2,2.5,,,,,3,12,,,,,3,,,,,7,,9,,4,21,,,,,,,,3,,45,,,,,,,3.5,,,,,,,10,,,,3,5,,,,,,,,,,,,,,,,,,,,,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312/05,2016-17,Volta,,20,5,,11,,2,,,1,33.4,,0.5,,12,150,4,11,7,,,1.5,3,,47,7,,12,7,16,6,16.5,21,11,7,2.5,,,70,1,5.6,37,,2.5,,,,,,,,,30,,4,10,18,,20,12,29,,6,,,,6,42,30,,,6,,,,,,,7,,,10,20,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312/06,2016-17,Volta,,5,3.5,,4,4,2,,1,4.5,5.8,25,1,22,,12,11.5,7.5,1,,0.5,3.5,,,37,,1.7,1.5,7,16,6.6,5.5,,2,0.5,0.7,,,,0.7,6.5,,0.5,3,,,1,,,4,4,2,5,3,5,,3,5,,,,,3.4,,,,,14,6.8,,,10,,,,,,,2,,3.5,,18,,,2.5,,,,,,,,,0.3,,,,,,2,,,,,,,,,,,,,1.5,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312/07,2016-17,Volta,,,25,12,7,,6,,3.5,8,2.8,25,1.5,25,,8,6,7,1,,,5.5,1,12,58,,5.5,7,32,23,9,10,47,4,,,,5,30,1,9,,,,,,14,,,14,10,,,,,,,,,,,,2,,,,,32,12,23.5,0.5,,,,,,,,,,6,,55,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312/08,2016-17,Volta,,7,8.5,,14.5,,,,1.6,0.5,4.6,,,6,3,5,3.5,4.5,8.5,24,,6.5,3,,27,5,0.2,4,,15,1.7,16,,10,3,,,4,,,,1,,,,,6,,,,10,,65,,3,16,,40,,,,,,,,,,21,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,4,,,,,,,,21,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312/09,2016-17,Volta,,4,11,,7,,,,0.2,2,8.5,10,1,25,4,16,,6,9,,,1,,5,,5,3,16,12,8,10,,,2,3,,4,5,,1,,,,,,,15,,,7,4,,15,2,,6,6,,,,,,2,,,,,10,,,,2,21,,,,,,,,40,,32,,,,4,,,,,,,,,,,,,,6,,,,,,,,,,,,,1,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312/10,2016-17,Volta,,12,,,12.5,,,,1,1,3.4,,,,,25,6,1,,,,,3,,62,30,,5,5,12,29,10,,,,,,,20,,,,,6,3,,,,,,4.5,2.5,,2,,,26,,,,,,,,,,,10,10,,,,,,,,,,,,3,,10,3.5,,,4,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312/11,2016-17,Volta,,7,25,,4,,4,,1.2,14,,35,,31,2,2,15,9,4,,,6,,,,35,6,5.5,20,21,12.2,,18,,1,,,,32,3,0.5,,,,,,14,,,14,,4,,,,8,,20,,,,,4,,,,,10,,21,,14,15,,,,,,,,30,,52.5,,,,,,,,,,,,,,20,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312/12,2016-17,Volta,,12,15,,2,2,6,,1.4,5,7,5,2,30,,13,9,5,4,,,5.5,,,12,5,,3,12,16,2,8.5,19,,,,,11,8,2.5,,,,,,,,,,4,4,,,,6,,3,14,,,,,3,,,,,20,,5,1,2,6,,,,,,,,,,28,,,,,,,,,,,,,,,,,,0.5,,,,,,,,20,,,,,,,,,12,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312/13,2016-17,Volta,,8,2,5,37.5,,2,,1,4,35.8,,2,15,1.5,11,3.5,4,5,5,,2,,4,43,23,2.5,4.5,12,22,12.2,20.5,,11.5,5,,,2,30,1,10,,,3,,,,,,,,,,,2,2,4,15,,,18.5,,2,5,,,,12,2.5,5,2,6,,,,,,,5,,18,27.5,16,,,,,,,,,,,,2.5,,,,,,1,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312/14,2016-17,Volta,,9,2,,,,4,,2.2,6,2,10,2,17,,13,8,3.5,1,,,2.5,,,,16,,,17,19,15,3,25,,5,,,7,10,0.5,5.5,,,,,,5,,,12,,,10,,,,8,,,,,,1,2,,,,10,4,,,2,27,,,,,,,,6,,8,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312/15,2016-17,Volta,1,1,1,,3.1,,,,1,0.5,1.4,,1,,5,3,1,1,3,,,2,,,,,0.5,1.6,6,4.5,,3.5,,2.5,,,,8,,1,0.9,,,3,,,,,,,,,,,,8,,,,,,,,,,,,,,,,1,3.5,,,,,,,,,,,,,,,,6,,,,,,,,,,2.5,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313/01,2016-17,Volta,,,20,,2.4,,6,,2.8,7,8,22,2,25,,11,2,5,6,,,3.5,,,10,10,1.5,2.6,9,20,12.8,7,10,,2,,,,85,2.5,4,,10,,,,,,,,,2,,2,,,,30,,,,,,,,,,,,,6,,10,,,,2,,,,,2.5,33,,,,,,,,,,10,,,,,,,,0.5,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313/02,2016-17,Volta,,,15,29,11,,,,1,8,13.2,,1.5,55,,8,2,15,,,2,9,11,18,105,,1.2,,30,22,17,15.5,18,,,,,,85,3,3.5,,,,12,,,,,4.5,,,20,2,,11,13,40,,,14,,2,,,,5,20,15,,,,,,,,,,4,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,4,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
70313/03,2016-17,Volta,,2,5,,2.4,,,,1,1,,,1,5,,15,2,6,,,,3,,33,26,10,,2,10,26,7.1,15,,,,,,4,70,2,11,,6.5,,,,2,,,,,,,,,,,23,,,3,,0.5,,,,,31,3,,,,10,,,,,,,,21,,15,,,,,,,,,,,,,,,,,,1,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313/04,2016-17,Volta,,16,10,25,5,,10,,2,8,23.8,,4,15,4,8,9,14,15,,4,6,3,20,9,30,,2,16,26,47.5,5.5,20,5,,,,,90,3,,,22,,6,,,,20,,,2.5,20,,2,5,8.4,,,,,,5.5,10,10,,,20,,10,,10,,,,,,,2,,,5,10,,,,,,,,,,,,1,,,,2,,1,,,,,,,,49,,,,,5,,5,,,,,,,,2,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
70313/05,2016-17,Volta,,20,15,8,8.4,,6,,0.6,2,,,0.5,21,,6,2,4,,10,1,2,,5,58,10,,,19,4,4.5,1,28,,6,,,,65,2,,,12,,,,6,,,2,,,,,2,,,,,,,,1,,,,,10,11.5,,,5,,,,5,,,,,,,13.5,,,,,,,,,,,,0.3,,,,,,0.2,,,,,,,,14,,,,,,,,,10,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
70313/06,2016-17,Volta,,6,16,,3.6,,,,0.8,4,3.6,,,9,,2,15,4.8,,,,3,4,,14,,,,4,14,3.4,3,,0.5,,,,9,115,,,,15,,,,7,,,,,,,,,5,,,,,,,0.5,,,,,,,3,3,3,15,,,,,,,,3,,48,,,,,8,,,,,,,,,,,,,0.5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313/07,2016-17,Volta,,,12,,,,2,,3,4,,,0.5,25,,52,4,11,,,,5,,,50,10,,,7,19,8.1,3.5,48,,4,,,3,30,1.5,7,,15,,,,,,,,,,50,,,,,,,,,,,,,,,30,,2,,,,,,10,,,,,,,110,,,,,,,4,,,32,,,,,,,,6,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313/08,2016-17,Volta,,15,7,12,6,,2,,14.9,5,3,10,2,15,9,9.5,24,6,,,0.5,11,,,37.8,5,1.2,3.5,16,37,17.5,3.8,10,2,16,,,2,85,2,3.5,,12,,,,2.5,,,,,3,,,,,6,20,,,,,1.5,15,,,,25,9,,2,,,,,15,,,1,,,10,24,3,,,,,,,,,,,0.5,,,,,,10,,2,,,,,,,,,,,,,5,,,,,,,,3,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313/09,2016-17,Volta,,5,,,7,6,,,,,,,,,,,,2.5,,,,1.5,3,,,11,,2.5,2,7,,11.1,,4,2,,,4,5,,,,,3,7,,,,,,,,,,,7,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313/10,2016-17,Volta,,,3,2,,,,,0.9,3,,,,,,2,10,5.8,,,,3,,,,8,,,4,10,2.8,,,,,,,7,34,,,,11,,,,,,,,,,,,,5,,,,,,,0.2,2,,,,,,6,1,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313/11,2016-17,Volta,,2,13,,5,,4,,3.3,7.5,,,,46,,10.5,6.5,7.5,,,,3.5,,,24,,2,2,19,14,11.2,5,,1,2,,,4,65,1,,,,,,,5,,,5,,,,,,8,,,,,,,0.5,15,,,,18,,,,,24,,,7,,,,,7,,29,,,,,,,,,,5,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313/12,2016-17,Volta,,5,8,,3,,2,,3.5,7,2.4,10,1,9,1,5,11,5,,,1,4.5,,,18,5,1.5,3,5.5,7,10.7,4.4,5,,5,0.5,,5,100,2,6,,1,,3,,6,,,,,3.5,10,3,4,,,5,10,,,,1.5,14,,,,7,,10,2,3,25,,,,,,2,,6,3,23.5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,1,,,,,,0.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313/13,2016-17,Volta,,14,,,,,,,2,4,,,,45,,,6,11,,10,,5,,,101,33,1.5,,10,31,9,16,35,,,,,10,10,,,,,,,,,,,,,,,,,10,3,,,,12.5,,,,,,10,20,,12.5,,,,,,,,,5,28,,,34,,,,,,,,,,,,,,,,,,1,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313/14,2016-17,Volta,,,2,,,,2,,0.9,2,2,,,5,,1,4,5.2,4,,,4.5,,10,3.5,22,1,2.2,16,17,5.7,9.8,7,,4,,,11,35,,,,13,,,,,,,,,,5,,,4,,,,,,,,5,,,,36,5.7,,0.5,,,,2,10,2,,2,,6,,4.5,,,,1,,,2,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313/15,2016-17,Volta,,5,,,6.2,,2,,1,3.5,1.8,,,20,,13,4.5,6,2,,0.6,3,,,99,30,,2,16,9,7.3,16,26,10,,,,,70,2,2,,17,,,,6,,,3,,,,,,5,6.4,10,,,,,6,,,,6,20,,5,,,,,,,,,2,,14,,,,,,,,,,,,,,,,,,1,,,,,,,,,,10,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/01,2016-17,Volta,,2,,,,,,,,,1,8,,,,,,2,,,,1,,,24,,,,7,6,,,,,,,,5,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/02,2016-17,Volta,,10,16,14,,,,,1.5,4,8,15,3,,,,5.5,6,,40,,4.5,,7,15,,1,2,9,18,,,,,10,,,,40,2,3,,3,,,4,18,,,10,,,60,,,,,5,10,,,,,,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/03,2016-17,Volta,,15,3,8,9,,,,0.5,5,3,20,,,3,,0.5,4.5,,,,2.5,,4,35,10,,2,8,8,,,15,,,,,,60,,4,,4,,,,12,,,14,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/04,2016-17,Volta,,7,15,16,3,,,,1.5,1,2,5,0.5,5,,3,5.5,6.5,,,,1.5,,2,27,10,,2,11,17,,,,,,,,8,52,0.5,4,,6,,,,10,,,10,,,,,,,,,5,,,,,,,,,15,,2,,,,,,,,,,,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/05,2016-17,Volta,,13,3,,37.6,,,,1.5,2,6,20,,,8.1,12,1.5,6.5,,,,5.5,,,35,20,1,,6,17,,,20,,,0.1,,,,,,2,9,,,,13,,,,,3,,,4,,,,10,,8,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/06,2016-17,Volta,,17,9,17,9,,,,6,7,3,45,1,,,15,2,8,,20,,4,,9,45,,3,2,,20,6,,45,,,,,,60,5,3,1,9,,,,,,,14,12,,,,2,3,,,,,,,,,,,,26,,,,4,,,,,,,,,,,,,,,,,,8,,,,,,,,,5,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/07,2016-17,Volta,,18,13,14,,,,,1.5,6,,,1,10,,,2,3.5,,,,4.5,,7,35,20,,2.5,8,16,,,,,,,,,87,,6,,8,,,,4,,,16,,,,,,,,5,30,,,,,,,,,,10,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/08,2016-17,Volta,,3,,,,,,,,,,,,18,,,,3,,,,,,2,,5,1,,,,,,,,,,,,40,,3,,,,,,,,,10,,,,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/09,2016-17,Volta,,17,23,,3,,,,2,3,6,,,5,,44,3,4,,,,4,,,35,,,4,12,15,,,20,,5,,,,25,,,,25.5,,,,10,,,4,,,,,2,,,,,,,,,,,,,24,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/10,2016-17,Volta,,12.5,11.5,8,,,,,1.5,,,20,,,8.5,,1.5,4.5,,,,3.5,,7,40,35,,1.5,3,15,,,,,,,,,40,0.5,4,,15.5,,,,8,,,9,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70314/11,2016-17,Volta,,10,14,,5,,,,,2.5,2,,,11,,,3,7.5,,,,1.5,,,,20,,,,14,,,,,,,,3,12,,,,3,,,,7,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
