i,t,m,Females 00-00,Females 01-04,Females 05-09,Females 10-14,Females 15-19,Females 20-29,Females 30-49,Females 50-59,Females 60-99,Males 00-00,Males 01-04,Males 05-09,Males 10-14,Males 15-19,Males 20-29,Males 30-49,Males 50-59,Males 60-99,boys,girls,log HSize,men,women
70001/01,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70001/02,2016-17,Western,0,0,0,1,2,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1.945910149,2,3
70001/03,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70001/04,2016-17,Western,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1.098612289,2,0
70001/05,2016-17,Western,1,0,0,1,2,1,1,0,0,0,0,1,0,1,0,0,1,0,1,3,2.197224577,2,3
70001/06,2016-17,Western,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,0,2
70001/07,2016-17,Western,0,0,1,0,1,0,1,0,0,0,0,1,2,0,2,2,0,0,3,2,2.302585093,4,1
70001/08,2016-17,Western,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806,1,1
70001/09,2016-17,Western,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.609437912,0,4
70001/10,2016-17,Western,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6931471806,1,1
70001/11,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70001/12,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,2,0
70001/14,2016-17,Western,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806,0,1
70001/15,2016-17,Western,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,3,2,1.791759469,0,1
70002/01,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70002/02,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1.098612289,1,1
70002/03,2016-17,Western,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289,1,1
70002/04,2016-17,Western,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5,1.945910149,0,1
70002/05,2016-17,Western,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1.098612289,0,1
70002/06,2016-17,Western,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6931471806,1,1
70002/07,2016-17,Western,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.098612289,0,2
70002/08,2016-17,Western,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,1.609437912,1,1
70002/09,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70002/10,2016-17,Western,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,2,1,1.791759469,2,1
70002/11,2016-17,Western,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806,1,0
70002/13,2016-17,Western,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.609437912,1,4
70002/14,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70002/15,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70003/01,2016-17,Western,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,1,1.609437912,0,2
70003/03,2016-17,Western,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1.386294361,1,1
70003/04,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70003/05,2016-17,Western,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,1,1.609437912,0,2
70003/06,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6931471806,0,1
70003/07,2016-17,Western,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1.098612289,1,1
70003/09,2016-17,Western,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.098612289,1,2
70003/10,2016-17,Western,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1.609437912,1,1
70003/11,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70003/12,2016-17,Western,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806,0,1
70003/13,2016-17,Western,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.098612289,0,1
70003/14,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1.098612289,1,1
70004/01,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70004/02,2016-17,Western,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70004/03,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.6931471806,1,0
70004/05,2016-17,Western,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,2,1,1.791759469,1,2
70004/06,2016-17,Western,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289,1,1
70004/07,2016-17,Western,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.098612289,0,1
70004/08,2016-17,Western,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,2,1.791759469,1,1
70004/09,2016-17,Western,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70004/10,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70004/11,2016-17,Western,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,1,0,2,0,1.945910149,3,2
70004/12,2016-17,Western,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,3,1,1.791759469,1,1
70004/14,2016-17,Western,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1.791759469,0,2
70004/15,2016-17,Western,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1.791759469,1,2
70005/01,2016-17,Western,1,1,0,1,1,2,0,1,0,0,0,0,0,0,2,0,1,0,0,3,2.302585093,3,4
70005/02,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70005/03,2016-17,Western,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70005/04,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70005/05,2016-17,Western,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1.098612289,1,1
70005/06,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,2,1
70005/07,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1.098612289,3,0
70005/08,2016-17,Western,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1.098612289,1,1
70005/09,2016-17,Western,0,1,0,0,2,3,0,1,1,0,1,1,0,1,2,0,0,0,2,3,2.564949357,3,5
70005/10,2016-17,Western,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1.386294361,0,1
70005/11,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70005/12,2016-17,Western,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1.791759469,1,2
70005/13,2016-17,Western,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.098612289,0,2
70005/14,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70005/15,2016-17,Western,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,1,1.609437912,1,1
70006/01,2016-17,Western,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1.386294361,1,2
70006/02,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70006/03,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70006/04,2016-17,Western,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,1.386294361,0,1
70006/05,2016-17,Western,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,0,2
70006/06,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70006/07,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6931471806,2,0
70006/08,2016-17,Western,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.098612289,1,1
70006/09,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70006/10,2016-17,Western,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1.386294361,1,1
70006/12,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70006/13,2016-17,Western,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1.609437912,1,4
70006/14,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70006/15,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6931471806,2,0
70007/01,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70007/02,2016-17,Western,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6931471806,1,1
70007/03,2016-17,Western,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,1,1.386294361,0,1
70007/04,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.6931471806,1,0
70007/05,2016-17,Western,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1.386294361,2,1
70007/06,2016-17,Western,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1.098612289,0,2
70007/07,2016-17,Western,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,2,1,1.791759469,2,1
70007/08,2016-17,Western,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1.609437912,1,2
70007/10,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,1.386294361,1,1
70007/11,2016-17,Western,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,3,1.791759469,1,1
70007/12,2016-17,Western,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1.609437912,2,1
70007/13,2016-17,Western,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1.098612289,2,1
70007/14,2016-17,Western,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.386294361,1,2
70007/15,2016-17,Western,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1.609437912,1,2
70008/01,2016-17,Western,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1.386294361,1,1
70008/02,2016-17,Western,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806,1,1
70008/03,2016-17,Western,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.386294361,1,2
70008/04,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70008/06,2016-17,Western,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289,1,1
70008/07,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70008/08,2016-17,Western,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1.386294361,2,1
70008/09,2016-17,Western,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1.098612289,1,0
70008/10,2016-17,Western,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,3,1.791759469,0,2
70008/11,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70008/12,2016-17,Western,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,2,1,1.945910149,1,3
70008/13,2016-17,Western,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,4,0,1.609437912,0,1
70008/14,2016-17,Western,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,3,0,1.609437912,1,1
70008/15,2016-17,Western,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.098612289,1,2
70009/01,2016-17,Western,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806,0,1
70009/02,2016-17,Western,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1.386294361,1,2
70009/03,2016-17,Western,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,2,1.945910149,2,2
70009/04,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70009/06,2016-17,Western,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70009/07,2016-17,Western,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.098612289,2,1
70009/08,2016-17,Western,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806,0,1
70009/09,2016-17,Western,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,2,1.791759469,1,1
70009/10,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,1,1
70009/11,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70009/12,2016-17,Western,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.609437912,1,3
70009/14,2016-17,Western,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1.791759469,1,4
70009/15,2016-17,Western,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2,1.791759469,1,2
70010/02,2016-17,Western,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1.386294361,0,2
70010/03,2016-17,Western,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70010/04,2016-17,Western,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.386294361,2,2
70010/05,2016-17,Western,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.098612289,1,2
70010/06,2016-17,Western,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.386294361,1,3
70010/07,2016-17,Western,0,0,0,0,1,0,1,0,0,0,1,2,1,0,0,1,0,0,4,1,1.945910149,1,1
70010/08,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6931471806,2,0
70010/09,2016-17,Western,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,0,2
70010/11,2016-17,Western,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70010/14,2016-17,Western,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1.386294361,1,1
70011/01,2016-17,Western,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1.386294361,1,1
70011/02,2016-17,Western,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1.791759469,4,1
70011/04,2016-17,Western,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,1.609437912,1,1
70011/05,2016-17,Western,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6931471806,0,1
70011/06,2016-17,Western,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,2,1.609437912,0,1
70011/07,2016-17,Western,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806,0,1
70011/08,2016-17,Western,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1.609437912,1,3
70011/09,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70011/10,2016-17,Western,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,2,0,1.609437912,1,2
70011/11,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70011/13,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70011/14,2016-17,Western,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,3,0,1.609437912,1,1
70012/01,2016-17,Western,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.6931471806,1,1
70012/02,2016-17,Western,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471806,1,1
70012/03,2016-17,Western,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1.386294361,1,1
70012/05,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70012/06,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1.098612289,0,1
70012/07,2016-17,Western,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1.386294361,2,1
70012/08,2016-17,Western,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,0,2
70012/10,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70012/11,2016-17,Western,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,3,2,1.791759469,0,1
70012/12,2016-17,Western,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.098612289,1,1
70012/13,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70012/14,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70013/02,2016-17,Western,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,1.386294361,1,1
70013/03,2016-17,Western,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.6931471806,0,1
70013/04,2016-17,Western,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70013/05,2016-17,Western,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.098612289,1,0
70013/06,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6931471806,2,0
70013/07,2016-17,Western,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1.386294361,1,1
70013/08,2016-17,Western,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,1.098612289,1,0
70013/09,2016-17,Western,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1.791759469,0,3
70013/10,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70013/11,2016-17,Western,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.609437912,1,3
70013/12,2016-17,Western,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.098612289,1,1
70013/14,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70013/15,2016-17,Western,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1.098612289,0,1
70014/01,2016-17,Western,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1.386294361,0,2
70014/02,2016-17,Western,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.098612289,1,2
70014/03,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70014/05,2016-17,Western,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,2,1.791759469,1,2
70014/06,2016-17,Western,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289,1,1
70014/07,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
70014/09,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70014/11,2016-17,Western,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1.386294361,3,0
70014/12,2016-17,Western,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,2,1.791759469,1,1
70014/13,2016-17,Western,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289,1,1
70014/14,2016-17,Western,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.098612289,1,2
70014/15,2016-17,Western,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,2,1.791759469,1,1
70015/01,2016-17,Western,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,0,1.609437912,2,1
70015/02,2016-17,Western,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1.386294361,0,3
70015/03,2016-17,Western,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806,1,1
70015/04,2016-17,Western,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1.386294361,2,1
70015/05,2016-17,Western,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,0,1.386294361,1,1
70015/06,2016-17,Western,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1.386294361,0,1
70015/07,2016-17,Western,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.098612289,0,1
70015/08,2016-17,Western,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.098612289,1,1
70015/09,2016-17,Western,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.6931471806,0,1
70015/10,2016-17,Western,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289,1,1
70015/11,2016-17,Western,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1.386294361,1,1
70015/12,2016-17,Western,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1.386294361,1,1
70015/13,2016-17,Western,0,0,1,0,0,0,1,0,0,0,1,1,2,2,0,1,0,0,6,1,2.197224577,1,1
70015/14,2016-17,Western,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1.609437912,1,2
70016/01,2016-17,Western,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,1.386294361,1,1
70016/03,2016-17,Western,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,2,1,1.791759469,1,2
70016/04,2016-17,Western,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,0,1.386294361,1,1
70016/05,2016-17,Western,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,0,1.609437912,2,1
70016/06,2016-17,Western,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,1,1.609437912,1,1
70016/07,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70016/08,2016-17,Western,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,2,1,1.609437912,1,1
70016/09,2016-17,Western,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1.386294361,1,1
70016/10,2016-17,Western,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,1,1.609437912,1,1
70016/11,2016-17,Western,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.098612289,0,2
70016/12,2016-17,Western,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,3,0,1.609437912,1,1
70016/15,2016-17,Western,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.098612289,1,2
70017/01,2016-17,Western,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1.386294361,0,1
70017/03,2016-17,Western,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1.098612289,0,2
70017/04,2016-17,Western,0,0,0,1,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,1,1.945910149,3,3
70017/05,2016-17,Western,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1.386294361,0,3
70017/06,2016-17,Western,0,0,2,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,3,2,1.945910149,1,1
70017/07,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70017/10,2016-17,Western,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.098612289,0,2
70017/12,2016-17,Western,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1.098612289,1,1
70017/13,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70017/14,2016-17,Western,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.098612289,1,2
70017/15,2016-17,Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70018/02,2016-17,Western,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,2,1,1.791759469,0,3
70018/03,2016-17,Western,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1.386294361,1,1
70018/05,2016-17,Western,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,1,1
