"Data Source","World Development Indicators",

"Last Updated Date","2024-02-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Australia","AUS","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","109529736464.328","111954169510.17","114761956261.449","121019926361.661","129548243649.414","136023571578.729","140011194491.402","147175070338.249","154480377649.239","162697545715.879","172656553919.846","179361149696.296","185821590103.07","194550888945.129","206788432474.033","216804013263.656","218475137668.911","230070284600.161","234581948306.285","238108058020.179","242372588852.119","250268186431.869","264205885034.984","270562857160.096","273474112193.036","274551968825.022","288147254409.688","293976463860.713","303391333115.797","317524058264.202","331265241569.772","334565060941.039","342488944813.617","349011168438.937","356531600450.647","372239425483.916","384811938269.998","395819028060.868","416023629277.72","439166283068.087","457640954165.646","472826971533.844","486883770317.289","507741189397.574","534711425233.295","558987019489.051","577367899194.6","607862011615.834","637061653952.107","638991076873.453","661407963939.934","688211459523.193","708035684539.116","721595240069.683","738073494394.461","757500222558.533","777280529382.959","796167584854.911","818056709247.305","831250031723.357","803632188657.092","810952383490.622","845642544140.107",
"Austria","AUT","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","73822875887.4148","78782428465.3566","83572526249.0261","88061900549.3078","90696812813.941","93641994810.873","97897472698.682","104192163161.122","102415132920.597","107276506921.873","109979782932.775","111382459085.952","113524451387.205","119693654832.203","117147049808.047","119268441783.461","121883955324.714","124830877037.859","127836661738.39","132423646544.737","138031570718.138","142165599105.913","147111958466.073","147267784003.996","150276491161.481","151557485926.43","156011669806.359","156667047975.723","161218658182.578","165116177255.023","170261909424.551","172442845628.266","173618862721.555","176644781752.512","180744509549.273","184808411174.797","188675329881.719","190757785721.262","192562963194.309","194201003645.512","196132121926.773","198770255107.328","199807682945.449","199649799261.113","200256092580.195","201233218392.711","204342983312.812","208341068633.664","210647379794.019","211803137181.926","193738347865.25","201906481909.871","213341155046.039",
"Azerbaijan","AZE","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30088993952.5496","","","","","","","",
"Burundi","BDI","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1274804358.11381","1384989699.81775","1350046265.71177","1334355382.24194","1344709670.58406","1455380587.42831","1407968332.61322","1464287065.91775","1649874177.19","1821922387.79109","1795250719.93826","1857485959.98963","1863308064.85194","1858570043.72139","2004604025.60304","2083860786.23902","2303309387.09017","2390154764.361","2340974554.61835","2301366844.54295","2304999096.40018","2385674064.83989","2459629960.84993","2467996146.19876","2542993502.32161","2604299989.67558",
"Belgium","BEL","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","91477633620.2311","95977659244.2628","101658913343.631","109944069931.852","113027377407.564","113994583065.324","119790159153.916","122942153244.148","126011191274.573","132477379144.517","131400609088.807","131949779136.715","135167388709.786","134964371150.572","135462422611.071","139131345414.122","142914191891.269","145394220594.423","150218444775.582","155187265114.699","160113728689.704","164949638260.628","168097142152.191","167343493316.592","171351265794.492","174051839031.992","177469138735.117","180189886245.508","185846182961.914","189772416227.969","195118049335","196958509317.969","198163107463.32","199585613940.39","201709554466.914","204622802463.828","208254571008.711","212611850032.773","215535194596.992","216795046484.297","223318538476.015","225251198980.195","228556659783.945","232371830809.648","233654538662.5","237358203642.695","241084835539.726","245646708740.82","250424382199.14","254675480839.57","233806541928.516","248523120909.766","256487759195.117",
"Benin","BEN","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","1427670970.1621","1451355719.44528","1434399064.8591","1554535739.84771","1693240233.60151","1815406667.12516","2000374613.92519","2048715130.18616","2119514695.6258","2124532244.01011","2157337520.30316","2177747598.18418","2262970662.56523","2349899368.94126","2363153616.49207","2316260353.22512","2313784307.6648","2594741065.06118","2665287540.78607","2804435008.9108","2956486903.86949","3226061752.17483","2849708494.85726","2801896155.56077","3029744493.06772","3369759810.56896","3315659966.28452","3245825853.32484","3617060590.81216","3353227315.13061","3171205779.24556","3472030985.18598","3674355971.49489","3868739915.33794","3663188004.72","3818061841.81159","4036871178.19892","4239495511.76467","4470541464.11323","4708264931.32402","5062910320.97964","5285010310.79388","5513295971.34584","5662643713.78952","5891541345.82519","6014063326.77918","6276488017.5108","6512560317.62978","6795059857.92966","6987539608.90264","7130670699.997","7397753919.82978","7539356865.92451","7844562581.26424","8133623545.6923","8560727091.95439","8726309065.94788","9031729883.25605","9347840429.17001","9675014844.12161","9987517823.73187","10466918679.2412","10985157956.89",
"Burkina Faso","BFA","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","1381244871.93418","1399046876.6232","1592298775.84391","1622086485.64325","1660247890.52804","1562662438.04939","1594016432.35077","1525126664.27314","1511692184.41277","1603297494.98631","1707497354.35715","1821662902.38053","2027584844.74372","2012088333.03566","2063369579.50382","2215373068.9544","2306932430.82616","2346135403.76869","2356029627.14043","2205991284.02226","2308175444.11985","2634397422.05507","2498520296.19346","2638939916.40876","2590442067.6737","2513395781.11663","2645722290.32586","2664526917.05704","2841879701.77816","2272871299.81653","2658051123.3389","3145544415.4625","3222572284.42053","3649246376.71835","4266051022.04862","4287421881.155","4342228593.89362","4575480051.47896","4811128180.68766","5128049329.46371","5408278087.89399","5639174047.43233","5732464367.61135","6147832260.58562","6211523838.79251","6548801113.0321","6919185088.92562","7574506477.37352","8054416345.80106","8161187828.86465","8462728354.20114","8822667104.93946","9132918676.78843","9351770513.34326","9615142716.27284","9846608233.38445","10166877441.082","10567175804.089",
"Bangladesh","BGD","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","38369192106.8681","41802955447.584","41073932417.7965","43091163134.9236","47656045487.8431","47885589877.4835","48697894700.3883","48465877749.9203","49949733709.9352","51969381943.673","56512090293.2242","54523232466.03","51157792107.6767","43985530333.1474","41858347041.9886","39929592265.9848","39865769363.9256","34882103948.0502","40356953977.7301","41616826963.2708","43304802060.9306","41834185533.7243","40508164421.2059","41569699997.0087","44563532540.5937","45151749111.0151","46442066288.4053","47713218517.5448","49564479065.6486","50012045169.2869","53832329855.8698","53661728860.3692","55779053235.0042","57678341706.3455","59790708994.6447","62030611044.8906","61970836352.0459","62621641588.1205","63679464657.6283","66220811159.5996","69515390188.5785","72388214397.2214","73153492582.9303","76117456176.8635","80661256209.9164","86091209084.7168","92158615065.8106","99009589821.441","102950453699.62","105309808855.235","110158303945.161","117309427247.702","122135842985.604","128398252761.948","133541356969.249","141309630820.731","145552106485.837","154676972017.962","169237056823.01","177454226065.848","182772174057.053","197422212636.096","212182517469.927",
"Bulgaria","BGR","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","19267220789.1494","20139500270.4966","21202612943.487","21691915722.1381","22810200550.6692","22785509545.7106","23219321637.6031","24546328767.3428","26156553566.7098","25158288291.9522","26591384969.3874","19930273287.8444","19451946798.8017","18887840246.4787","18056775369.317","21411631214.226","22157892580.1271","14990142019.6372","14577389231.1943","15611086497.6877","17016011670.6642","18322059973.0722","19365003900.4392","20622719963.189","22576204710.6903","24227612960.3276","26294950765.3337","29316850303.59","30340223077.5743","29046484747.0041","29733744234.6327","30325133434.6763","31456459556.1601","30241119295.0825","30655687378.9117","31519767982.7547","32202489231.9177","33024647857.9352","34252014450.9465","36293427568.7181","36089150109.7869","39145880628.2664","40651611423.1592",
"Bahrain","BHR","Households and NPISHs Final consumption expenditure (constant 2015 US$)","NE.CON.PRVT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5973462828.41106","6418114722.04721","6462562273.49358","6674834607.4845","6771901945.3654","6957423438.20804","7039557339.49188","7378969660.25897","9237094845.03003","10249158536.2971","11704874639.2233","12479531964.4315","12620605905.8278","13869135274.2341","13774713623.9393","14128324468.0851","14097869664.3163","14282215296.0096","14475115317.5645","14548224484.5269","13910136964.5823","16541636610.0476","",
