i,t,m,Males 00-00,Females 00-00,Males 01-04,Females 01-04,Males 05-09,Females 05-09,Males 10-14,Females 10-14,Males 15-19,Females 15-19,Males 20-29,Females 20-29,Males 30-49,Females 30-49,Males 50-59,Females 50-59,Males 60-99,Females 60-99,log HSize
608,2018,Togo,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0986122886681098
609,2018,Togo,0,0,0,0,0,1,0,2,2,1,0,0,1,1,0,1,1,0,2.302585092994046
610,2018,Togo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6931471805599453
611,2018,Togo,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.3862943611198906
612,2018,Togo,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,1.791759469228055
702,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6931471805599453
703,2018,Togo,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1.6094379124341003
704,2018,Togo,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0986122886681098
706,2018,Togo,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1.6094379124341003
708,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
709,2018,Togo,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471805599453
710,2018,Togo,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1.6094379124341003
712,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1.3862943611198906
801,2018,Togo,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1.6094379124341003
803,2018,Togo,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1.3862943611198906
805,2018,Togo,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.3862943611198906
806,2018,Togo,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1.791759469228055
807,2018,Togo,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1.3862943611198906
808,2018,Togo,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1.791759469228055
809,2018,Togo,0,0,0,0,1,0,1,0,0,0,2,0,1,1,0,0,0,0,1.791759469228055
810,2018,Togo,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0986122886681098
811,2018,Togo,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.6931471805599453
812,2018,Togo,0,0,0,0,0,0,0,0,2,2,2,1,1,0,1,1,0,0,2.302585092994046
814,2018,Togo,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1.0986122886681098
816,2018,Togo,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1.3862943611198906
901,2018,Togo,0,0,0,0,0,1,0,1,2,0,2,2,0,1,1,0,0,0,2.302585092994046
902,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.6931471805599453
903,2018,Togo,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.6094379124341003
905,2018,Togo,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1.3862943611198906
906,2018,Togo,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1.0986122886681098
907,2018,Togo,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,1,0,0,1.9459101490553132
909,2018,Togo,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1.6094379124341003
910,2018,Togo,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1.791759469228055
911,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1.0986122886681098
912,2018,Togo,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.3862943611198906
1001,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
1002,2018,Togo,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1.6094379124341003
1003,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1004,2018,Togo,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1.6094379124341003
1005,2018,Togo,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0986122886681098
1007,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453
1008,2018,Togo,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0986122886681098
1009,2018,Togo,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1.3862943611198906
1010,2018,Togo,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0986122886681098
1011,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
1012,2018,Togo,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.6094379124341003
1015,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
1101,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
1104,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1105,2018,Togo,0,0,0,0,0,0,2,0,1,2,0,0,1,1,0,0,0,0,1.9459101490553132
1106,2018,Togo,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1.791759469228055
1108,2018,Togo,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1.0986122886681098
1111,2018,Togo,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1.6094379124341003
1112,2018,Togo,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1.3862943611198906
1201,2018,Togo,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1.6094379124341003
1202,2018,Togo,0,1,0,1,2,0,1,0,0,1,0,0,0,1,1,0,0,0,2.0794415416798357
1203,2018,Togo,0,0,0,0,0,1,0,1,2,3,1,1,0,1,1,0,0,0,2.3978952727983707
1204,2018,Togo,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0986122886681098
1205,2018,Togo,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1.3862943611198906
1206,2018,Togo,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1.6094379124341003
1207,2018,Togo,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1.0986122886681098
1208,2018,Togo,0,0,0,1,0,0,0,2,2,0,0,0,1,1,0,0,0,0,1.9459101490553132
1209,2018,Togo,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1.791759469228055
1210,2018,Togo,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0986122886681098
1211,2018,Togo,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1.3862943611198906
1212,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.0986122886681098
1301,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1302,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
1304,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
1402,2018,Togo,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1.0986122886681098
1403,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1404,2018,Togo,0,0,0,0,0,0,1,1,2,0,4,0,0,0,1,1,0,0,2.302585092994046
1406,2018,Togo,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,0,1.791759469228055
1407,2018,Togo,0,0,0,1,1,0,1,1,2,0,0,0,1,1,0,0,0,0,2.0794415416798357
1408,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1.3862943611198906
1409,2018,Togo,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1.6094379124341003
1412,2018,Togo,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1.0986122886681098
1413,2018,Togo,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,1.791759469228055
1414,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
1415,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471805599453
1416,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1501,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
1502,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1503,2018,Togo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.6931471805599453
1504,2018,Togo,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1.3862943611198906
1505,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
1506,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1507,2018,Togo,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1.6094379124341003
1508,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1510,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1511,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471805599453
1601,2018,Togo,0,0,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1.791759469228055
1603,2018,Togo,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,1,1.9459101490553132
1604,2018,Togo,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1.791759469228055
1605,2018,Togo,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0986122886681098
1607,2018,Togo,0,0,0,0,0,1,1,1,2,0,0,0,1,1,0,0,0,0,1.9459101490553132
1608,2018,Togo,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1.791759469228055
1610,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1611,2018,Togo,0,0,0,0,0,1,2,1,1,0,0,0,1,1,0,0,0,0,1.9459101490553132
1612,2018,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1614,2018,Togo,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,2.0794415416798357
1615,2018,Togo,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1.0986122886681098
1616,2018,Togo,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1.791759469228055
1701,2018,Togo,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1.791759469228055
1702,2018,Togo,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.3862943611198906
1704,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
1705,2018,Togo,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1.3862943611198906
1707,2018,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
