i,t,m,women,men,boys,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural
241010,2019,fatick,2,1,1,2,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1.791759469,1
241011,2019,fatick,3,1,1,4,0,1,1,1,0,0,0,2,0,1,1,1,0,1,2.197224577,1
241012,2019,fatick,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1.386294361,1
24102,2019,fatick,5,0,3,5,1,2,2,0,0,1,0,3,0,1,0,2,0,1,2.564949357,1
24103,2019,fatick,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,1
24104,2019,fatick,3,2,9,3,1,1,3,0,2,1,3,1,1,1,1,2,0,0,2.833213344,1
24105,2019,fatick,3,1,2,3,2,0,0,1,0,0,0,2,1,2,0,0,0,1,2.197224577,1
24106,2019,fatick,1,1,3,2,0,0,1,0,2,1,0,1,0,0,1,1,0,0,1.945910149,1
24107,2019,fatick,0,5,1,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,1.791759469,1
24108,2019,fatick,4,1,4,7,1,1,1,3,1,2,1,1,0,1,1,2,0,1,2.772588722,1
24109,2019,fatick,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.098612289,1
2411,2019,dakar,6,3,1,5,0,1,0,0,1,1,0,3,1,2,1,3,1,1,2.708050201,0
2412,2019,dakar,3,1,3,0,0,0,1,0,0,0,2,0,0,0,0,1,1,2,1.945910149,0
24121,2019,fatick,3,1,4,3,2,1,1,0,1,1,0,1,0,1,1,1,0,1,2.397895273,1
241210,2019,fatick,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806,1
241211,2019,fatick,2,4,1,0,0,0,0,0,0,0,1,1,2,0,1,0,1,1,1.945910149,1
241212,2019,fatick,3,1,3,2,0,1,2,0,0,0,1,1,0,1,0,1,1,1,2.197224577,1
24122,2019,fatick,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1.098612289,1
24123,2019,fatick,2,4,0,1,0,0,0,1,0,0,1,0,2,1,0,0,1,1,1.945910149,1
24124,2019,fatick,5,0,2,0,1,0,1,0,0,0,0,0,0,3,0,0,0,2,1.945910149,1
24125,2019,fatick,4,3,5,4,2,1,2,0,1,1,2,2,0,1,0,2,1,1,2.772588722,1
24126,2019,fatick,6,7,4,3,0,1,2,1,1,0,2,1,3,0,2,2,1,4,2.995732274,1
24127,2019,fatick,1,1,2,3,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1.945910149,1
24128,2019,fatick,1,0,5,2,2,0,1,0,1,2,1,0,0,0,0,1,0,0,2.079441542,1
24129,2019,fatick,2,1,5,1,2,0,1,1,1,0,1,0,0,0,1,2,0,0,2.197224577,1
24141,2019,fatick,3,1,5,5,1,2,3,1,0,2,1,0,0,1,0,2,1,0,2.63905733,1
241410,2019,fatick,4,4,2,4,1,2,1,1,0,0,0,1,3,2,0,0,1,2,2.63905733,1
241411,2019,fatick,1,1,1,3,1,0,0,2,0,1,0,0,0,0,1,1,0,0,1.791759469,1
241412,2019,fatick,5,2,2,3,0,0,2,2,0,0,0,1,0,3,2,1,0,1,2.48490665,1
24142,2019,fatick,4,2,6,7,0,3,2,1,2,2,2,1,1,2,1,1,0,1,2.944438979,1
24143,2019,fatick,3,3,3,5,2,4,1,1,0,0,0,0,0,2,3,1,0,0,2.63905733,1
24144,2019,fatick,3,3,4,6,2,0,2,3,0,1,0,2,1,2,2,0,0,1,2.772588722,1
24145,2019,fatick,4,1,1,8,1,2,0,3,0,3,0,0,0,1,1,2,0,1,2.63905733,1
24146,2019,fatick,5,1,2,5,0,3,2,1,0,1,0,0,0,3,0,0,1,2,2.564949357,1
24147,2019,fatick,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1.386294361,1
24148,2019,fatick,3,3,2,7,0,1,1,3,1,3,0,0,1,1,1,1,1,1,2.708050201,1
24149,2019,fatick,2,1,5,8,2,2,1,4,2,2,0,0,0,0,0,2,1,0,2.772588722,1
24171,2019,fatick,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1.098612289,0
241710,2019,fatick,2,1,1,3,0,2,0,1,1,0,0,0,0,1,1,0,0,1,1.945910149,0
241711,2019,fatick,1,1,3,2,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1.945910149,0
241712,2019,fatick,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6931471806,0
24172,2019,fatick,4,1,2,3,0,0,1,0,1,3,0,1,0,1,0,2,1,0,2.302585093,0
24173,2019,fatick,2,3,5,2,0,1,0,1,4,0,1,0,2,1,0,0,1,1,2.48490665,0
24174,2019,fatick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24175,2019,fatick,2,2,3,3,1,0,2,1,0,2,0,0,0,0,1,1,1,1,2.302585093,0
24176,2019,fatick,3,1,2,3,1,0,1,2,0,1,0,0,0,1,1,1,0,1,2.197224577,0
24177,2019,fatick,2,3,3,2,0,0,0,0,3,0,0,2,2,0,0,1,1,1,2.302585093,0
24178,2019,fatick,3,2,4,1,0,1,1,0,2,0,2,0,0,1,1,1,0,1,2.302585093,0
24179,2019,fatick,2,1,3,1,0,0,1,0,2,1,0,0,0,1,1,1,0,0,1.945910149,0
24181,2019,fatick,3,0,4,4,0,0,1,2,2,2,1,0,0,0,0,2,0,1,2.397895273,1
241810,2019,fatick,3,4,4,7,1,1,2,4,0,0,1,2,1,1,1,1,2,1,2.890371758,1
241811,2019,fatick,1,0,0,3,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1.386294361,1
241812,2019,fatick,2,2,2,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1.791759469,1
24182,2019,fatick,6,6,4,3,1,0,3,2,0,1,1,1,2,2,2,1,1,2,2.944438979,1
24183,2019,fatick,7,1,8,6,0,2,2,2,4,1,2,1,0,3,0,2,1,2,3.091042453,1
24184,2019,fatick,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.098612289,1
24185,2019,fatick,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1.609437912,1
24186,2019,fatick,2,0,2,4,0,1,0,2,1,1,1,0,0,0,0,1,0,1,2.079441542,1
24187,2019,fatick,1,1,0,6,0,0,0,1,0,4,0,1,0,0,0,1,1,0,2.079441542,1
24188,2019,fatick,1,1,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1.386294361,1
24189,2019,fatick,2,1,6,1,1,0,1,1,1,0,3,0,0,1,0,1,1,0,2.302585093,1
242,2019,dakar,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806,0
24201,2019,fatick,2,1,3,2,1,1,0,1,2,0,0,0,1,1,0,0,0,1,2.079441542,1
242010,2019,fatick,1,1,1,2,0,0,0,0,1,2,0,0,0,0,0,1,1,0,1.609437912,1
242011,2019,fatick,2,2,4,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,2.197224577,1
242012,2019,fatick,1,0,2,2,0,0,2,0,0,1,0,1,0,0,0,0,0,1,1.609437912,1
24202,2019,fatick,2,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1.386294361,1
