i,t,m,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
10080,2010,Nigeria,1,1,0,1,0,0,0,0,1,1,0,1,0,1
10081,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10082,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10083,2010,Nigeria,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10084,2010,Nigeria,0,0,0,0,0,0,0,0,2,0,0,1,0,0
10085,2010,Nigeria,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10086,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10087,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10088,2010,Nigeria,0,0,0,0,2,0,1,0,0,1,2,0,0,1
10089,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10090,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10091,2010,Nigeria,0,1,0,0,0,1,1,0,0,0,0,0,0,1
10092,2010,Nigeria,1,0,0,0,0,0,0,0,0,0,0,1,1,0
10093,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10094,2010,Nigeria,0,1,0,0,0,1,0,1,1,0,0,1,0,0
10095,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10096,2010,Nigeria,0,1,0,1,1,0,1,0,0,1,1,0,0,2
10097,2010,Nigeria,0,0,2,0,1,0,1,0,0,1,2,1,0,1
10098,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10099,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10100,2010,Nigeria,1,0,0,1,0,0,1,0,0,0,0,0,1,0
10101,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10102,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,2,0,1
10103,2010,Nigeria,0,0,0,0,3,0,1,0,0,0,0,1,0,1
10104,2010,Nigeria,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10105,2010,Nigeria,0,0,2,0,0,0,0,0,1,0,0,0,1,0
